#    Energy_eV   Re_FT_dcf   Re_FT_dcf1   Re_FT_dcf2
2.267160227550355067e+00 1.155013665731154104e-03 1.728305730379169763e-03 -5.732920646506836637e-04
2.268271585629928477e+00 1.077968242428149065e-03 1.641741194274320970e-03 -5.637729518422947977e-04
2.269382943709501443e+00 8.395732212988227250e-04 1.297157349235293633e-03 -4.575841279339243339e-04
2.270494301789074854e+00 4.789620708166714147e-04 7.509973316342302696e-04 -2.720352608155274937e-04
2.271605659868647820e+00 5.543533007535197954e-05 9.295450637950009032e-05 -3.751917630521149627e-05
2.272717017948221230e+00 -3.612762604304660397e-04 -5.687513881950240213e-04 2.074751277650731945e-04
2.273828376027794640e+00 -7.024772098984145841e-04 -1.125165353674240087e-03 4.226881437767292943e-04
2.274939734107367606e+00 -9.118161210433933794e-04 -1.484530715369095089e-03 5.727145943276723550e-04
2.276051092186941016e+00 -9.545762594012525970e-04 -1.587413427142553290e-03 6.328371677423710179e-04
2.277162450266514426e+00 -8.234161654464260821e-04 -1.416524216113396878e-03 5.931080506668242117e-04
2.278273808346087392e+00 -5.396111264464962393e-04 -9.996154383726599257e-04 4.600043119244402387e-04
2.279385166425660803e+00 -1.495857591536052522e-04 -4.049674822916137645e-04 2.553817231389999068e-04
2.280496524505233769e+00 2.826971999822271153e-04 2.698012514701112960e-04 1.289594851200176126e-05
2.281607882584807179e+00 6.862440431887103370e-04 9.137669293854729785e-04 -2.275228861950574083e-04
2.282719240664380589e+00 9.947071494144574255e-04 1.420942259503475691e-03 -4.262351100867874110e-04
2.283830598743953555e+00 1.157311282352017912e-03 1.707727856523816312e-03 -5.504165741700211764e-04
2.284941956823526965e+00 1.147229734483223851e-03 1.726699520658236953e-03 -5.794697861733408284e-04
2.286053314903099931e+00 9.660285277428674877e-04 1.474457609715595918e-03 -5.084290819750217350e-04
2.287164672982673341e+00 6.434424350823253480e-04 9.922393405513568743e-04 -3.487969054704782856e-04
2.288276031062246751e+00 2.325141016106153924e-04 3.591845299672768999e-04 -1.266704283558080235e-04
2.289387389141819718e+00 -1.991091681516725387e-04 -3.206455834878010891e-04 1.215364153376516376e-04
2.290498747221393128e+00 -5.802929728790755248e-04 -9.353672081997624344e-04 3.550742353215351893e-04
2.291610105300966094e+00 -8.481206191949773598e-04 -1.383680982171266172e-03 5.355603629775239349e-04
2.292721463380539504e+00 -9.582592012322560526e-04 -1.591558781075658874e-03 6.332995798429968959e-04
2.293832821460112914e+00 -8.922790365618691460e-04 -1.524461559088322038e-03 6.321825225286369088e-04
2.294944179539685880e+00 -6.607179774519283261e-04 -1.193071717353066247e-03 5.323537399004717868e-04
2.296055537619259290e+00 -3.013810828177542617e-04 -6.515885987449414676e-04 3.502075159287332783e-04
2.297166895698832700e+00 1.268501921248346709e-04 1.114130321526116130e-05 1.157088889100653037e-04
2.298278253778405666e+00 5.536856368310322934e-04 6.862080606149546791e-04 -1.325224237825959727e-04
2.299389611857979077e+00 9.089835722933727741e-04 1.262542291375692849e-03 -3.535587190777195882e-04
2.300500969937552043e+00 1.134297631087091696e-03 1.645196303758263146e-03 -5.108986726743876272e-04
2.301612328017125453e+00 1.192512307625591406e-03 1.770993646449472297e-03 -5.784813388224150504e-04
2.302723686096698863e+00 1.073978854627212487e-03 1.618967820930350410e-03 -5.449889663046558058e-04
2.303835044176271829e+00 7.981372411994223925e-04 1.213865503408025071e-03 -4.157282622089548269e-04
2.304946402255845239e+00 4.103516858001456102e-04 6.221291445815055332e-04 -2.117774587808620573e-04
2.306057760335418205e+00 -2.552517481212504546e-05 -5.898896365975209166e-05 3.346378884856726632e-05
2.307169118414991615e+00 -4.376406925446704732e-04 -7.173976677437438054e-04 2.797569751999805926e-04
2.308280476494565026e+00 -7.579604409896113781e-04 -1.244600284534651269e-03 4.866398435471128853e-04
2.309391834574137992e+00 -9.334725192410783801e-04 -1.553559060410464321e-03 6.200865411678767314e-04
2.310503192653711402e+00 -9.349328532674283654e-04 -1.593049456955819565e-03 6.581166036887485526e-04
2.311614550733284812e+00 -7.617089283479677730e-04 -1.356137141356805048e-03 5.944282130083654303e-04
2.312725908812857778e+00 -4.419198410413023928e-04 -8.813750808091477817e-04 4.394552397680171266e-04
2.313837266892431188e+00 -2.784382503418793807e-05 -2.465147124378948978e-04 2.186708874052727646e-04
2.314948624972004154e+00 4.126566313989703944e-04 4.442428832805876346e-04 -3.158625188295904884e-05
2.316059983051577564e+00 8.072855199548045063e-04 1.077365287313426789e-03 -2.700797673585312100e-04
2.317171341131150974e+00 1.091207620274634027e-03 1.548664207916432278e-03 -4.574565876424825997e-04
2.318282699210723941e+00 1.217729462365556292e-03 1.780456024378401780e-03 -5.627265620129877355e-04
2.319394057290297351e+00 1.166007343914192418e-03 1.734380906600892225e-03 -5.683735626881639136e-04
2.320505415369870317e+00 9.445100016262954201e-04 1.417765141662273576e-03 -4.732551400369166411e-04
2.321616773449443727e+00 5.896607675769452439e-04 8.824714910410091928e-04 -2.928107234660658198e-04
2.322728131529017137e+00 1.598768033997111093e-04 2.164175827859410317e-04 -5.654077938645543644e-05
2.323839489608590103e+00 -2.740190815267301572e-04 -4.708505938080323472e-04 1.968315122829397690e-04
2.324950847688163513e+00 -6.404402498477075600e-04 -1.066162790223881829e-03 4.257225403776921518e-04
2.326062205767736479e+00 -8.788179632911348460e-04 -1.471347125507817266e-03 5.925291622166824201e-04
2.327173563847309889e+00 -9.495839165076513932e-04 -1.619406728944745161e-03 6.698228124384728727e-04
2.328284921926883300e+00 -8.407082620494835817e-04 -1.485584751672954645e-03 6.448764896231397314e-04
