#    Energy_eV   Re_FT_dcf   Re_FT_dcf1   Re_FT_dcf2
2.166135580476510114e+00 3.366387967964701647e-05 -2.513315210931265850e-05 5.879703178650032497e-05
2.167246938556083524e+00 4.087418023174292994e-05 -1.385998478043576343e-05 5.473416501310351782e-05
2.168358296635656490e+00 5.359547934236921427e-05 8.295631815776523948e-06 4.529984752663735945e-05
2.169469654715229900e+00 6.985326463497965738e-05 3.775999021235227487e-05 3.209327442245412700e-05
2.170581012794802866e+00 8.708981138665821201e-05 6.975266567660950295e-05 1.733714570832265919e-05
2.171692370874376277e+00 1.025844980143313448e-04 9.907194444637099084e-05 3.512553565515261211e-06
2.172803728953949687e+00 1.139014436098528642e-04 1.209505539670153659e-04 -7.049110357444394320e-06
2.173915087033522653e+00 1.192908153705802762e-04 1.318409212143255640e-04 -1.255010584544618418e-05
2.175026445113096063e+00 1.179776917721135632e-04 1.300006143490090721e-04 -1.202292257960297858e-05
2.176137803192669473e+00 1.102907966704599375e-04 1.157813566702060870e-04 -5.490560000547591718e-06
2.177249161272242439e+00 9.760972047953737907e-05 9.157367778351351711e-05 6.036042694441794143e-06
2.178360519351815849e+00 8.213909742653228985e-05 6.141589319558563020e-05 2.072320422958663644e-05
2.179471877431388815e+00 6.654670306716287467e-05 3.033136835630095146e-05 3.621533470910551569e-05
2.180583235510962226e+00 5.352488050853663158e-05 3.502827080208853472e-06 5.002205342690161857e-05
2.181694593590535636e+00 4.534739679930906587e-05 -1.458057845047972152e-05 5.992797524862392058e-05
2.182805951670108602e+00 4.349467015668951470e-05 -2.086306996981746303e-05 6.435774012716259478e-05
2.183917309749682012e+00 4.840914213360102136e-05 -1.422700165942076753e-05 6.263614379279069120e-05
2.185028667829254978e+00 5.942122024845666525e-05 4.320799919816081108e-06 5.510042032922952276e-05
2.186140025908828388e+00 7.485818779327888667e-05 3.181217722064526299e-05 4.304601057130395814e-05
2.187251383988401798e+00 9.231837326553618897e-05 6.380383658637946154e-05 2.851453667776764761e-05
2.188362742067974764e+00 1.090656473101648746e-04 9.510695973614577414e-05 1.395868757150461881e-05
2.189474100147548175e+00 1.224794528436401811e-04 1.206404285594335837e-04 1.839024281983115544e-06
2.190585458227121141e+00 1.304863537033434939e-04 1.362673643718623553e-04 -5.781010669408340880e-06
