#    Energy_eV   Re_FT_dcf   Re_FT_dcf1   Re_FT_dcf2
2.267160227550355067e+00 -4.474771307252752711e-02 -6.710913398143090319e-03 -3.803679967438900605e-02
2.268271585629928477e+00 -4.483254333481050818e-02 -6.726854414603560678e-03 -3.810568892020656934e-02
2.269382943709501443e+00 -4.490853290023142513e-02 -6.731298660990453486e-03 -3.817723423924125614e-02
2.270494301789074854e+00 -4.496655967290606737e-02 -6.725364177410769403e-03 -3.824119549549508112e-02
2.271605659868647820e+00 -4.500405482116501266e-02 -6.713951120843724037e-03 -3.829010370032433913e-02
2.272717017948221230e+00 -4.502594596710960545e-02 -6.703964234828081216e-03 -3.832198173228556354e-02
2.273828376027794640e+00 -4.504287266947488294e-02 -6.701803346496354279e-03 -3.834106932298107784e-02
2.274939734107367606e+00 -4.506732044616527932e-02 -6.711033948804246037e-03 -3.835628649736225193e-02
2.276051092186941016e+00 -4.510907807503315020e-02 -6.731085725277744479e-03 -3.837799234975523832e-02
2.277162450266514426e+00 -4.517167098519386109e-02 -6.757454075650205262e-03 -3.841421690954538448e-02
2.278273808346087392e+00 -4.525107026836839436e-02 -6.783333501396589076e-03 -3.846773676697472222e-02
2.279385166425660803e+00 -4.533715006398758574e-02 -6.802090600182523691e-03 -3.853505946380388764e-02
2.280496524505233769e+00 -4.541736618071348652e-02 -6.809678047664156908e-03 -3.860768813305471420e-02
2.281607882584807179e+00 -4.548131958426355342e-02 -6.806111105350887841e-03 -3.867520847891470909e-02
2.282719240664380589e+00 -4.552454461707754890e-02 -6.795468026168745811e-03 -3.872907659091048838e-02
2.283830598743953555e+00 -4.555014198353662253e-02 -6.784412048733753225e-03 -3.876572993480840307e-02
2.284941956823526965e+00 -4.556765938891787354e-02 -6.779770616559339241e-03 -3.878788877235916921e-02
2.286053314903099931e+00 -4.558962390796521963e-02 -6.786051291118568030e-03 -3.880357261684674181e-02
2.287164672982673341e+00 -4.562698549158101385e-02 -6.803798154010443945e-03 -3.882318733757485207e-02
2.288276031062246751e+00 -4.568512895413084224e-02 -6.829387992657393047e-03 -3.885574096147396961e-02
2.289387389141819718e+00 -4.576190689426339053e-02 -6.856342551148485870e-03 -3.890556434311950862e-02
2.290498747221393128e+00 -4.584841212707590347e-02 -6.877681589217151704e-03 -3.897073053786091756e-02
2.291610105300966094e+00 -4.593221183781972389e-02 -6.888462072992168443e-03 -3.904374976482920256e-02
2.292721463380539504e+00 -4.600186918611842007e-02 -6.887579833537162480e-03 -3.911428935258225159e-02
2.293832821460112914e+00 -4.605110796264750422e-02 -6.878177032437184091e-03 -3.917293093021067402e-02
