#    Energy_eV   Re_FT_dcf   Re_FT_dcf1   Re_FT_dcf2
2.166135580476510114e+00 -4.604638865891164806e-02 -7.499903151740062827e-03 -3.854648550716793104e-02
2.167246938556083524e+00 -4.609680876264436733e-02 -7.502656733160622399e-03 -3.859415202948161816e-02
2.168358296635656490e+00 -4.615218297885721049e-02 -7.509556712575940658e-03 -3.864262626628520159e-02
2.169469654715229900e+00 -4.621140205785895239e-02 -7.521151206475533077e-03 -3.869025085138672743e-02
2.170581012794802866e+00 -4.627198247664763425e-02 -7.536284716422651971e-03 -3.873569776022321720e-02
2.171692370874376277e+00 -4.633096837871088919e-02 -7.552516222023006320e-03 -3.877845215668641876e-02
2.172803728953949687e+00 -4.638600647252764941e-02 -7.567005826246059330e-03 -3.881900064628332481e-02
2.173915087033522653e+00 -4.643620301506411197e-02 -7.577547908848356398e-03 -3.885865510621659691e-02
2.175026445113096063e+00 -4.648245081529910755e-02 -7.583374934895572780e-03 -3.889907588040825148e-02
2.176137803192669473e+00 -4.652710663750092568e-02 -7.585438986994581453e-03 -3.894166765050749435e-02
2.177249161272242439e+00 -4.657313558414966775e-02 -7.586067762472850640e-03 -3.898706782167830204e-02
2.178360519351815849e+00 -4.662303310990099231e-02 -7.588119319308717428e-03 -3.903491379058745409e-02
2.179471877431388815e+00 -4.667791660012415161e-02 -7.593942498513985527e-03 -3.908397410160987379e-02
2.180583235510962226e+00 -4.673711722975640998e-02 -7.604521145817961375e-03 -3.913259608393702960e-02
2.181694593590535636e+00 -4.679842120170359804e-02 -7.619113920112567141e-03 -3.917930728158733333e-02
2.182805951670108602e+00 -4.685887337993415586e-02 -7.635521549076493622e-03 -3.922335183085919053e-02
2.183917309749682012e+00 -4.691585161049781350e-02 -7.650885196971053681e-03 -3.926496641352677369e-02
2.185028667829254978e+00 -4.696802118626874217e-02 -7.662726135960852732e-03 -3.930529505030834481e-02
2.186140025908828388e+00 -4.701582204666373416e-02 -7.669848637903465237e-03 -3.934597340875923416e-02
2.187251383988401798e+00 -4.706131089030028691e-02 -7.672777218721525683e-03 -3.938853367157397339e-02
2.188362742067974764e+00 -4.710741486772652281e-02 -7.673568366221092917e-03 -3.943384650150687926e-02
2.189474100147548175e+00 -4.715686767715489280e-02 -7.675064329628597526e-03 -3.948180334752650344e-02
2.190585458227121141e+00 -4.721121476626604502e-02 -7.679859743272226570e-03 -3.953135502299284093e-02
2.191696816306694551e+00 -4.727024966745388412e-02 -7.689356798084520835e-03 -3.958089286936899986e-02
2.192808174386267961e+00 -4.733208706975051971e-02 -7.703253015389740013e-03 -3.962883405435885242e-02
2.193919532465840927e+00 -4.739384681039850861e-02 -7.719648734548396028e-03 -3.967419807584870312e-02
2.195030890545414337e+00 -4.745270066177654372e-02 -7.735736135857946422e-03 -3.971696452591682441e-02
2.196142248624987747e+00 -4.750690148836868298e-02 -7.748819884355790527e-03 -3.975808160401481106e-02
