#    Energy_eV   Re_FT_dcf   Re_FT_dcf1   Re_FT_dcf2
2.566808392777448766e+00 -1.968029065616707859e-02 -3.671145755512085409e-03 -1.600914490065389120e-02
2.567919750857022176e+00 -1.969858823640659867e-02 -3.674998739215072033e-03 -1.602358949719281944e-02
2.569031108936595142e+00 -1.971695127520118121e-02 -3.678889226197538422e-03 -1.603806204900490306e-02
2.570142467016168553e+00 -1.973538907772991180e-02 -3.682835064975435377e-03 -1.605255401275242771e-02
2.571253825095741519e+00 -1.975389272767048843e-02 -3.686836056306509995e-03 -1.606705667136237858e-02
2.572365183175314929e+00 -1.977243832557901496e-02 -3.690874007734888055e-03 -1.608156431783881388e-02
2.573476541254888339e+00 -1.979099568639938050e-02 -3.694919335997919659e-03 -1.609607635040043519e-02
2.574587899334461305e+00 -1.980953933686037741e-02 -3.698941821890241923e-03 -1.611059751496836390e-02
2.575699257414034715e+00 -1.982805781208313300e-02 -3.702921608527964207e-03 -1.612513620355447014e-02
2.576810615493608125e+00 -1.984655786464268462e-02 -3.706856440826740255e-03 -1.613970142381779618e-02
2.577921973573181091e+00 -1.986506204696459124e-02 -3.710762507497599328e-03 -1.615429953946379352e-02
2.579033331652754502e+00 -1.988360053820217507e-02 -3.714668571937510769e-03 -1.616893196626261950e-02
2.580144689732327468e+00 -1.990220018363968515e-02 -3.718605520190969554e-03 -1.618359466344959988e-02
2.581256047811900878e+00 -1.992087473301298525e-02 -3.722595124581041214e-03 -1.619827960842898026e-02
2.582367405891474288e+00 -1.993961983332586882e-02 -3.726642111031199054e-03 -1.621297772229317660e-02
2.583478763971047254e+00 -1.995841460552364235e-02 -3.730732420743009502e-03 -1.622768218478004912e-02
2.584590122050620664e+00 -1.997722923962366726e-02 -3.734838305725462614e-03 -1.624239093389413108e-02
2.585701480130193630e+00 -1.999603585154096849e-02 -3.738928411692061388e-03 -1.625710743984822709e-02
2.586812838209767040e+00 -2.001481865326438028e-02 -3.742979184657187989e-03 -1.627183946860542851e-02
2.587924196289340451e+00 -2.003357973290900013e-02 -3.746983451739357030e-03 -1.628659628116808228e-02
2.589035554368913417e+00 -2.005233833451066511e-02 -3.750953050326038055e-03 -1.630138528418538166e-02
2.590146912448486827e+00 -2.007112389100610891e-02 -3.754914542093952014e-03 -1.631620934891103367e-02
2.591258270528059793e+00 -2.008996533836043472e-02 -3.758899563743284267e-03 -1.633106577461517286e-02
2.592369628607633203e+00 -2.010888059637122235e-02 -3.762933319882664183e-03 -1.634594727648622930e-02
2.593480986687206613e+00 -2.012787004576437402e-02 -3.767025403513554836e-03 -1.636084464224948909e-02
2.594592344766779579e+00 -2.014691638191184325e-02 -3.771166287371334903e-03 -1.637575009453817385e-02
2.595703702846352989e+00 -2.016599090695742405e-02 -3.775330769398608111e-03 -1.639066013755658205e-02
2.596815060925926399e+00 -2.018506397824088375e-02 -3.779487126431939348e-03 -1.640557685180820194e-02
2.597926419005499366e+00 -2.020411581484391622e-02 -3.783608651497381587e-03 -1.642050716334571628e-02
2.599037777085072776e+00 -2.022314372843320857e-02 -3.787683378866649880e-03 -1.643546034956474070e-02
2.600149135164645742e+00 -2.024216314110307072e-02 -3.791718455721313028e-03 -1.645044468538274865e-02
2.601260493244219152e+00 -2.026120201133214949e-02 -3.795737563496399698e-03 -1.646546444783653085e-02
2.602371851323792562e+00 -2.028029068840728547e-02 -3.799772319257747281e-03 -1.648051836914798951e-02
2.603483209403365528e+00 -2.029945088288993837e-02 -3.803850779525089557e-03 -1.649560010336159968e-02
2.604594567482938938e+00 -2.031868776720121422e-02 -3.807987226726726893e-03 -1.651070054047256569e-02
2.605705925562511904e+00 -2.033798808668929939e-02 -3.812176956736973085e-03 -1.652581112995253967e-02
2.606817283642085314e+00 -2.035732497666866217e-02 -3.816397969945145054e-03 -1.654092700672509658e-02
2.607928641721658725e+00 -2.037666774109532508e-02 -3.820618958520110089e-03 -1.655604878257451590e-02
2.609039999801231691e+00 -2.039599303927681559e-02 -3.824810690373337593e-03 -1.657118234890345154e-02
2.610151357880805101e+00 -2.041529340995787770e-02 -3.828956650909617985e-03 -1.658633675904937557e-02
2.611262715960378511e+00 -2.043458002586744787e-02 -3.833059069152200665e-03 -1.660152095671088915e-02
2.612374074039951477e+00 -2.045387866811876690e-02 -3.837138129902442456e-03 -1.661674053821531397e-02
2.613485432119524887e+00 -2.047322037684011151e-02 -3.841224650837325293e-03 -1.663199572600309109e-02
2.614596790199097853e+00 -2.049263017477087612e-02 -3.845348881970926148e-03 -1.664728129279981900e-02
2.615708148278671263e+00 -2.051211796638214430e-02 -3.849529498983665123e-03 -1.666258846739855290e-02
2.616819506358244674e+00 -2.053167492890551477e-02 -3.853766796160989355e-03 -1.667790813274388356e-02
2.617930864437817640e+00 -2.055127671671291498e-02 -3.858042560936180213e-03 -1.669323415577668099e-02
2.619042222517391050e+00 -2.057089232133886211e-02 -3.862326683349430988e-03 -1.670856563798929148e-02
2.620153580596964016e+00 -2.059049536946268300e-02 -3.866588102965148790e-03 -1.672390726649915574e-02
2.621264938676537426e+00 -2.061007374879549742e-02 -3.870806114512169785e-03 -1.673926763428305875e-02
2.622376296756110836e+00 -2.062963405508554462e-02 -3.874977918429986946e-03 -1.675465613665389625e-02
2.623487654835683802e+00 -2.064919923429961446e-02 -3.879119664228521894e-03 -1.677007957006795835e-02
2.624599012915257212e+00 -2.066880026907176593e-02 -3.883260599501769331e-03 -1.678553966957139001e-02
2.625710370994830178e+00 -2.068846492817826357e-02 -3.887432445896042005e-03 -1.680103248227947377e-02
2.626821729074403589e+00 -2.070820767090247178e-02 -3.891657862685874748e-03 -1.681654980821690668e-02
2.627933087153976999e+00 -2.072802438345394682e-02 -3.895942195174684035e-03 -1.683208218827771108e-02
2.629044445233549965e+00 -2.074789387029362872e-02 -3.900271514567619276e-03 -1.684762235572550768e-02
2.630155803313123375e+00 -2.076778556660864930e-02 -3.904617669800000170e-03 -1.686316789680810876e-02
2.631267161392696785e+00 -2.078767067246365535e-02 -3.908948521164963379e-03 -1.687872215129719577e-02
2.632378519472269751e+00 -2.080753265967190055e-02 -3.913239637436023884e-03 -1.689429302223617937e-02
2.633489877551843161e+00 -2.082737332527930321e-02 -3.917483201544127991e-03 -1.690989012373471032e-02
2.634601235631416127e+00 -2.084721218160095341e-02 -3.921690880698765896e-03 -1.692552130089993237e-02
2.635712593710989537e+00 -2.086707939599733927e-02 -3.925889609535640826e-03 -1.694118978646244264e-02
2.636823951790562948e+00 -2.088700484179217831e-02 -3.930111812507828400e-03 -1.695689302928245559e-02
2.637935309870135914e+00 -2.090700724157804752e-02 -3.934383617446276030e-03 -1.697262362413165526e-02
