#    Energy_eV   Re_FT_dcf   Re_FT_dcf1   Re_FT_dcf2
2.625478968862521967e+00 4.440841005063686509e-03 4.907659746029663372e-03 -4.668187409648527630e-04
2.626590326942095377e+00 1.638378792502941106e-03 1.356897635288484283e-03 2.814811572148610136e-04
2.627701685021668343e+00 -1.434677004297002512e-03 -2.419680633577891982e-03 9.850036292816562178e-04
2.628813043101241753e+00 -4.272844192360389370e-03 -5.800754315685274776e-03 1.527910123326571556e-03
2.629924401180814719e+00 -6.408723642627081607e-03 -8.229390793870403065e-03 1.820667151244806381e-03
2.631035759260388129e+00 -7.489969782638647433e-03 -9.304782243540546394e-03 1.814812460902474889e-03
2.632147117339961540e+00 -7.337412674279439329e-03 -8.848390646356951716e-03 1.510977972077793413e-03
2.633258475419534506e+00 -5.974744192229486384e-03 -6.933585536999034571e-03 9.588413447710539272e-04
2.634369833499107916e+00 -3.624849999943516310e-03 -3.873855011654811498e-03 2.490050117121486717e-04
2.635481191578681326e+00 -6.733529969804169513e-04 -1.714831621499462999e-04 -5.018698348304602430e-04
2.636592549658254292e+00 2.394668962660675970e-03 3.564904102634963712e-03 -1.170235139974766525e-03
2.637703907737827702e+00 5.074406380470800754e-03 6.720389514225960648e-03 -1.645983133754377534e-03
2.638815265817400668e+00 6.924379963394710832e-03 8.774964344466985866e-03 -1.850584381070783605e-03
2.639926623896974078e+00 7.639174097790867729e-03 9.389222994517040788e-03 -1.750048896726349133e-03
2.641037981976547488e+00 7.099859314732264587e-03 8.460430485745788765e-03 -1.360571171014809608e-03
2.642149340056120455e+00 5.393779474992449474e-03 6.139701156195359610e-03 -7.459216812013107212e-04
2.643260698135693865e+00 2.800411983845750574e-03 2.807416832419890040e-03 -7.004848574694577668e-06
2.644372056215266831e+00 -2.544105583933697901e-04 -9.891173522861840262e-04 7.347067938942020149e-04
2.645483414294840241e+00 -3.268419024809163242e-03 -4.625561622650389837e-03 1.357142597842923154e-03
2.646594772374413651e+00 -5.745486797772217380e-03 -7.503211747295318590e-03 1.757724949521543428e-03
2.647706130453986617e+00 -7.277292379075317452e-03 -9.147567268035838861e-03 1.870274888960975906e-03
2.648817488533560027e+00 -7.610624064942284051e-03 -9.286570124859769293e-03 1.675946059918245051e-03
2.649928846613132993e+00 -6.689232878471354504e-03 -7.895613440664486782e-03 1.206380562193815759e-03
2.651040204692706403e+00 -4.663316212334345234e-03 -5.201874636535472329e-03 5.385584242016093481e-04
2.652151562772279814e+00 -1.865034197766943236e-03 -1.647213161929977909e-03 -2.178210358374718658e-04
2.653262920851852780e+00 1.245950513642422874e-03 2.184308066788459568e-03 -9.383575531465848663e-04
2.654374278931426190e+00 4.157980596177696109e-03 5.662389054065485039e-03 -1.504408457887461067e-03
2.655485637010999600e+00 6.391556193807820113e-03 8.214179093066958925e-03 -1.822622899259131873e-03
2.656596995090572566e+00 7.578291067595653921e-03 9.418626599960145188e-03 -1.840335532363982993e-03
2.657708353170145976e+00 7.521671736206334349e-03 9.075953008331322930e-03 -1.554281272125129960e-03
2.658819711249718942e+00 6.229598618163974255e-03 7.240787731315648929e-03 -1.011189113150757005e-03
2.659931069329292352e+00 3.913320921107972528e-03 4.213468921059004835e-03 -3.001479999518563008e-04
2.661042427408865763e+00 9.529019203776620262e-04 4.908937779637967402e-04 4.620081424135807913e-04
2.662153785488438729e+00 -2.165139976596494598e-03 -3.315038674160095122e-03 1.149898697563715017e-03
2.663265143568012139e+00 -4.927783028504689744e-03 -6.578006358886903659e-03 1.650223330380500009e-03
2.664376501647585105e+00 -6.879908167185422307e-03 -8.760332416299199121e-03 1.880424249113471502e-03
2.665487859727158515e+00 -7.699272323261355244e-03 -9.501582175566888888e-03 1.802309852304308929e-03
2.666599217806731925e+00 -7.249698658694125886e-03 -8.678090307359040412e-03 1.428391648666364755e-03
2.667710575886304891e+00 -5.603704232283374109e-03 -6.423587327337790254e-03 8.198830950547596197e-04
2.668821933965878301e+00 -3.030805644586409553e-03 -3.107485813039018163e-03 7.668016845180369856e-05
2.669933292045451712e+00 4.661222632888067929e-05 7.256486330813188834e-04 -6.790364067533263825e-04
2.671044650125024678e+00 3.122638473037585294e-03 4.445524126551657351e-03 -1.322885653514592474e-03
2.672156008204598088e+00 5.691005763113030080e-03 7.439761807521490244e-03 -1.748756044407502597e-03
2.673267366284171054e+00 7.328414741540022204e-03 9.214706446595027911e-03 -1.886291705055007442e-03
2.674378724363744464e+00 7.764299395906722884e-03 9.476812998515576902e-03 -1.712513602609947762e-03
2.675490082443317874e+00 6.925535315925601676e-03 8.181191540576171484e-03 -1.255656224650177760e-03
2.676601440522890840e+00 4.948703515240841788e-03 5.539282827852438917e-03 -5.905793126120863212e-04
2.677712798602464250e+00 2.157853822756475304e-03 1.984353976073188752e-03 1.734998466839839104e-04
2.678824156682037216e+00 -9.886122601867469717e-04 -1.899555498686242294e-03 9.109432385003279897e-04
2.679935514761610627e+00 -3.973232659209277595e-03 -5.473584971656911269e-03 1.500352312448736958e-03
2.681046872841184037e+00 -6.304583608019193042e-03 -8.149137787484522777e-03 1.844554179464486660e-03
2.682158230920757003e+00 -7.598191589458055950e-03 -9.484815055264175787e-03 1.886623465806029631e-03
2.683269589000330413e+00 -7.639936504136760065e-03 -9.259234688657858037e-03 1.619298184521025114e-03
2.684380947079903379e+00 -6.421490481469491196e-03 -7.507722713237560686e-03 1.086232231767680911e-03
2.685492305159476789e+00 -4.141927154800523203e-03 -4.516796100356851307e-03 3.748689455555752337e-04
2.686603663239050199e+00 -1.175197278235597109e-03 -7.772963000422239421e-04 -3.979009781935882728e-04
