#    Energy_eV   Re_FT_dcf   Re_FT_dcf1   Re_FT_dcf2
2.625478968862521967e+00 -3.078281013727344681e-02 -4.099098115195293213e-03 -2.668371202207716827e-02
2.626590326942095377e+00 -3.074125161367729370e-02 -4.005959990377783164e-03 -2.673529162330251854e-02
2.627701685021668343e+00 -3.050373415810193195e-02 -3.669054353510420308e-03 -2.683467980459166430e-02
2.628813043101241753e+00 -3.016869222285158830e-02 -3.212031362755496389e-03 -2.695666086009492618e-02
2.629924401180814719e+00 -2.987017650755765391e-02 -2.802398158823871804e-03 -2.706777834873232494e-02
2.631035759260388129e+00 -2.972911145315819056e-02 -2.590606925051650369e-03 -2.713850452810535885e-02
2.632147117339961540e+00 -2.980927611744127112e-02 -2.655280748188335385e-03 -2.715399536925227134e-02
2.633258475419534506e+00 -3.009403243789351284e-02 -2.974518419371519496e-03 -2.711951401852166418e-02
2.634369833499107916e+00 -3.049229218541303285e-02 -3.433750935859636484e-03 -2.705854124955344581e-02
2.635481191578681326e+00 -3.087158298189239883e-02 -3.867331950273390252e-03 -2.700425103162060539e-02
2.636592549658254292e+00 -3.110620990989556786e-02 -4.118764287131947144e-03 -2.698744562276074108e-02
2.637703907737827702e+00 -3.112300283334525769e-02 -4.097665196344536451e-03 -2.702533763700045930e-02
2.638815265817400668e+00 -3.092799913103110726e-02 -3.812735013327935366e-03 -2.711526411770509917e-02
2.639926623896974078e+00 -3.060433122064182276e-02 -3.368703503128209903e-03 -2.723562771751096220e-02
2.641037981976547488e+00 -3.028205648779006692e-02 -2.928324244413737024e-03 -2.735373224337542611e-02
2.642149340056120455e+00 -3.009087841707608346e-02 -2.653208846853194122e-03 -2.743766957022484090e-02
2.643260698135693865e+00 -3.011294564744068647e-02 -2.645009407920392158e-03 -2.746793623951984328e-02
2.644372056215266831e+00 -3.035290598433340592e-02 -2.908355368689592366e-03 -2.744455061564199036e-02
2.645483414294840241e+00 -3.073613181992550930e-02 -3.349058132864788859e-03 -2.738707368705863357e-02
2.646594772374413651e+00 -3.113579340136457888e-02 -3.808277047447266271e-03 -2.732751635391536885e-02
2.647706130453986617e+00 -3.141895903037095206e-02 -4.120253541798119326e-03 -2.729870548857130791e-02
2.648817488533560027e+00 -3.149496637693176282e-02 -4.172628810436418770e-03 -2.732233756649683765e-02
