#    Energy_eV   Re_FT_dcf   Re_FT_dcf1   Re_FT_dcf2
2.625478968862521967e+00 1.316132278155745378e-02 1.511599343554604720e-05 1.314620678811957710e-02
2.626590326942095377e+00 1.330992566676376075e-02 1.694202619854576547e-05 1.329298364056383762e-02
2.627701685021668343e+00 1.346055934993794362e-02 1.920311457416115536e-05 1.344135623536260940e-02
2.628813043101241753e+00 1.361202876866125094e-02 2.155802076166144922e-05 1.359047074790166801e-02
2.629924401180814719e+00 1.376324234655770286e-02 2.364979784349682552e-05 1.373959254871730089e-02
2.631035759260388129e+00 1.391339436931053782e-02 2.516456241394148679e-05 1.388822980689467454e-02
2.632147117339961540e+00 1.406210078162794044e-02 2.588324882630607925e-05 1.403621753280887702e-02
2.633258475419534506e+00 1.420946588440315760e-02 2.571781758181977521e-05 1.418374806681476502e-02
2.634369833499107916e+00 1.435606871398291060e-02 2.472593960217635243e-05 1.433134277438433482e-02
2.635481191578681326e+00 1.450287106846949274e-02 2.310171414063033680e-05 1.447976935432307086e-02
2.636592549658254292e+00 1.465106204323262003e-02 2.114392000184252095e-05 1.462991812323122427e-02
2.637703907737827702e+00 1.480186443494038370e-02 1.920699918568609667e-05 1.478265743575097983e-02
2.638815265817400668e+00 1.495633473291393088e-02 1.764281993414316252e-05 1.493869191298007396e-02
2.639926623896974078e+00 1.511518958878937079e-02 1.674279274873038929e-05 1.509844679603961765e-02
2.641037981976547488e+00 1.527868742619565255e-02 1.668986562617248947e-05 1.526199756056913041e-02
2.642149340056120455e+00 1.544658490611632538e-02 1.752830952707831402e-05 1.542905659659021128e-02
2.643260698135693865e+00 1.561817575124201454e-02 1.915628612979033664e-05 1.559901946511367717e-02
2.644372056215266831e+00 1.579240595072905345e-02 2.134244617609257964e-05 1.577106350455037553e-02
2.645483414294840241e+00 1.596804682152074689e-02 2.376385343666058457e-05 1.594428296808294426e-02
2.646594772374413651e+00 1.614389785374622729e-02 2.605901691685788411e-05 1.611783883683074597e-02
2.647706130453986617e+00 1.631898628902711187e-02 2.788732089678182941e-05 1.629109896813307756e-02
