#    Energy_eV   Re_FT_dcf   Re_FT_dcf1   Re_FT_dcf2
2.566808392777448766e+00 2.613160562601294658e-04 -3.675861089145748557e-06 2.649919173518409314e-04
2.567919750857022176e+00 2.635039513367542748e-04 -4.017551988667609542e-06 2.675215033283134380e-04
2.569031108936595142e+00 2.656106469955043722e-04 -4.293825999895686785e-06 2.699044729977413530e-04
2.570142467016168553e+00 2.677753100340531621e-04 -4.466231722136427564e-06 2.722415417584443100e-04
2.571253825095741519e+00 2.701332292575100947e-04 -4.513437963501079728e-06 2.746466672225880245e-04
2.572365183175314929e+00 2.727935919307471636e-04 -4.434764839829787692e-06 2.772283567726993516e-04
2.573476541254888339e+00 2.758215266081245529e-04 -4.250319653831953031e-06 2.800718462669356062e-04
2.574587899334461305e+00 2.792273723581377605e-04 -3.997711004891128176e-06 2.832250833602324670e-04
2.575699257414034715e+00 2.829649498114009945e-04 -3.725877815760350001e-06 2.866908276318642815e-04
2.576810615493608125e+00 2.869391299631811657e-04 -3.487045820260003127e-06 2.904261757853312110e-04
2.577921973573181091e+00 2.910214671274506302e-04 -3.328133551514858602e-06 2.943496006831040706e-04
2.579033331652754502e+00 2.950713347708140374e-04 -3.283022263612762827e-06 2.983543570375923317e-04
2.580144689732327468e+00 2.989590939569864055e-04 -3.366963820494993940e-06 3.023260577821322201e-04
2.581256047811900878e+00 3.025874863277101400e-04 -3.574050043664206341e-06 3.061615363706318271e-04
2.582367405891474288e+00 3.059077305471299621e-04 -3.878164184041341220e-06 3.097858947307576666e-04
2.583478763971047254e+00 3.089276686303955356e-04 -4.237262208011935742e-06 3.131649308410810800e-04
2.584590122050620664e+00 3.117106135118060100e-04 -4.600283102383620937e-06 3.163108966178750916e-04
2.585701480130193630e+00 3.143650762646021534e-04 -4.915553362234868697e-06 3.192806296329566860e-04
2.586812838209767040e+00 3.170270526623939216e-04 -5.139303521717138363e-06 3.221663561848487375e-04
2.587924196289340451e+00 3.198377732944314260e-04 -5.242893861951560084e-06 3.250806671591385333e-04
2.589035554368913417e+00 3.229205716059181208e-04 -5.217557590842510985e-06 3.281381291983118879e-04
2.590146912448486827e+00 3.263606720932352178e-04 -5.075876600519181012e-06 3.314365486947068061e-04
2.591258270528059793e+00 3.301912253285253394e-04 -4.849742277295280202e-06 3.350409676121887149e-04
2.592369628607633203e+00 3.343878918135970461e-04 -4.585132197668919871e-06 3.389730240135800329e-04
2.593480986687206613e+00 3.388728738221713499e-04 -4.334558545332832961e-06 3.432074323677716809e-04
2.594592344766779579e+00 3.435277402466839838e-04 -4.148428652066933521e-06 3.476761689033014977e-04
2.595703702846352989e+00 3.482129440137758745e-04 -4.066739044022151743e-06 3.522796830602813439e-04
2.596815060925926399e+00 3.527908282138826363e-04 -4.112471519822709267e-06 3.569032997329611018e-04
2.597926419005499366e+00 3.571483406512345458e-04 -4.287781311216419799e-06 3.614361219626587495e-04
2.599037777085072776e+00 3.612157208786404353e-04 -4.573609266077468020e-06 3.657893301458193646e-04
2.600149135164645742e+00 3.649780829889241241e-04 -4.932786901013330011e-06 3.699108698939209891e-04
2.601260493244219152e+00 3.684779834456704153e-04 -5.316128222570380029e-06 3.737941116709686887e-04
2.602371851323792562e+00 3.718085433496208861e-04 -5.670509386913920725e-06 3.774790527416762155e-04
2.603483209403365528e+00 3.750982489093100257e-04 -5.947608714892059186e-06 3.810458576250507238e-04
2.604594567482938938e+00 3.784899231571714484e-04 -6.111868836859489322e-06 3.846017919964810788e-04
2.605705925562511904e+00 3.821173224796955764e-04 -6.146368659660299510e-06 3.882636911408171771e-04
