#    Energy_eV   Re_FT_dcf   Re_FT_dcf1   Re_FT_dcf2
2.625478968862521967e+00 -3.230055422028181578e-02 -3.597428667815285447e-03 -2.870312555246748443e-02
2.626590326942095377e+00 -3.232261057981265784e-02 -3.591496718768946283e-03 -2.873111386104325315e-02
2.627701685021668343e+00 -3.235005889828070080e-02 -3.589076276558358751e-03 -2.876098262172453734e-02
2.628813043101241753e+00 -3.238572770704942205e-02 -3.592465961170620940e-03 -2.879326174587572285e-02
2.629924401180814719e+00 -3.242947470111178648e-02 -3.601854820033415991e-03 -2.882761988107852488e-02
2.631035759260388129e+00 -3.247823492538270268e-02 -3.615250892548102675e-03 -2.886298403283343167e-02
2.632147117339961540e+00 -3.252713263727095155e-02 -3.629203410609050783e-03 -2.889792922666063746e-02
2.633258475419534506e+00 -3.257125351630916349e-02 -3.640056801463962058e-03 -2.893119671484747912e-02
2.634369833499107916e+00 -3.260743308336539609e-02 -3.645280795516612962e-03 -2.896215228784711215e-02
2.635481191578681326e+00 -3.263541050277650457e-02 -3.644392674250135095e-03 -2.899101782852731360e-02
2.636592549658254292e+00 -3.265792709519665937e-02 -3.639135517458269315e-03 -2.901879157774036808e-02
2.637703907737827702e+00 -3.267973241508620452e-02 -3.632846647597792571e-03 -2.904688576748944151e-02
2.638815265817400668e+00 -3.270585826439551674e-02 -3.629245094252173467e-03 -2.907661317014482300e-02
2.639926623896974078e+00 -3.273978787004095531e-02 -3.631078621665818039e-03 -2.910870924837749216e-02
2.641037981976547488e+00 -3.278218637644386008e-02 -3.639122524292839021e-03 -2.914306385215148856e-02
2.642149340056120455e+00 -3.283065534722868356e-02 -3.651894996529214763e-03 -2.917876035070188570e-02
2.643260698135693865e+00 -3.288060187862248962e-02 -3.666193562337231350e-03 -2.921440831628703896e-02
2.644372056215266831e+00 -3.292690740518020714e-02 -3.678258377633532306e-03 -2.924864902754869059e-02
2.645483414294840241e+00 -3.296578986393517569e-02 -3.685139839544032854e-03 -2.928065002439123043e-02
2.646594772374413651e+00 -3.299618176817326748e-02 -3.685773051994535240e-03 -2.931040871617980950e-02
2.647706130453986617e+00 -3.302012207873764732e-02 -3.681367752826991344e-03 -2.933875432591081037e-02
2.648817488533560027e+00 -3.304201804410426824e-02 -3.674970934566310250e-03 -2.936704710953848274e-02
2.649928846613132993e+00 -3.306704424802826836e-02 -3.670360288280781307e-03 -2.939668395974791987e-02
2.651040204692706403e+00 -3.309926042416894143e-02 -3.670670329086987704e-03 -2.942859009508265108e-02
2.652151562772279814e+00 -3.314013266366882399e-02 -3.677250853176819521e-03 -2.946288181049321400e-02
2.653262920851852780e+00 -3.318799668312037016e-02 -3.689173455717105130e-03 -2.949882322740580640e-02
2.654374278931426190e+00 -3.323865964908072346e-02 -3.703566519367298884e-03 -2.953509312971419956e-02
2.655485637010999600e+00 -3.328692295057997241e-02 -3.716657810785345926e-03 -2.957026513979561441e-02
2.656596995090572566e+00 -3.332847288720827000e-02 -3.725146153988465134e-03 -2.960332673322236749e-02
2.657708353170145976e+00 -3.336145166223515590e-02 -3.727403411981736279e-03 -2.963404825025527101e-02
2.658819711249718942e+00 -3.338713656255485468e-02 -3.724069131667547081e-03 -2.966306743089077574e-02
