#    Energy_eV   Re_FT_dcf   Re_FT_dcf1   Re_FT_dcf2
2.401660630796060403e+00 7.863473735982923424e-04 1.974243804976861668e-06 7.843731297928033426e-04
2.402771988875633813e+00 7.976879352686880656e-04 2.070232667983196157e-06 7.956177025972297270e-04
2.403883346955206779e+00 8.107612660272238078e-04 2.005433895048436017e-06 8.087558321273917092e-04
2.404994705034780189e+00 8.248323617968309450e-04 1.792533338323319897e-06 8.230398284547312676e-04
2.406106063114353155e+00 8.390161724106562184e-04 1.468566942573976152e-06 8.375476054641693702e-04
2.407217421193926565e+00 8.524236829907713003e-04 1.088841410642820643e-06 8.513348415757791485e-04
2.408328779273499975e+00 8.643088355470519499e-04 7.178470945567040195e-07 8.635909884543366277e-04
2.409440137353072942e+00 8.741920776993428177e-04 4.186566293604582776e-07 8.737734210676724803e-04
2.410551495432646352e+00 8.819401477130157582e-04 2.425530312785158628e-07 8.816975946809909453e-04
2.411662853512219762e+00 8.877888893344034610e-04 2.205943945713176313e-07 8.875682949371025560e-04
2.412774211591792728e+00 8.923052558212000822e-04 3.585047358752187739e-07 8.919467510842419081e-04
2.413885569671366138e+00 8.962946758722975353e-04 6.357338862868748162e-07 8.956589419857221950e-04
2.414996927750939104e+00 9.006689605897859677e-04 1.008843543694267657e-06 8.996601170446947258e-04
2.416108285830512514e+00 9.062964510729264178e-04 1.418664363226567837e-06 9.048777867088043329e-04
2.417219643910085924e+00 9.138590603966189599e-04 1.800047563066542461e-06 9.120590128291086555e-04
2.418331001989658890e+00 9.237397628398529448e-04 2.092606364234584810e-06 9.216471564711476100e-04
2.419442360069232301e+00 9.359591018233658077e-04 2.250678301220110258e-06 9.337084235132213448e-04
2.420553718148805267e+00 9.501712448317617236e-04 2.250866320968799574e-06 9.479203785082972872e-04
2.421665076228378677e+00 9.657203218167470689e-04 2.095914097133814600e-06 9.636244077147779023e-04
2.422776434307952087e+00 9.817478629866368406e-04 1.814273742775795333e-06 9.799335892368373803e-04
2.423887792387525053e+00 9.973337258480539577e-04 1.455433232272842787e-06 9.958782926116765966e-04
2.424999150467098463e+00 1.011647366973299038e-03 1.081769484502888767e-06 1.010565597488676318e-03
2.426110508546671429e+00 1.024084578754883186e-03 7.582662995194182267e-07 1.023326312445739170e-03
2.427221866626244839e+00 1.034367174217727496e-03 5.417894734593373682e-07 1.033825384737114932e-03
2.428333224705818250e+00 1.042589170686393854e-03 4.716862413142513741e-07 1.042117484444032155e-03
2.429444582785391216e+00 1.049201809906483932e-03 5.632599291622881078e-07 1.048638549969804247e-03
2.430555940864964626e+00 1.054939809714153329e-03 8.051987685151867349e-07 1.054134610942412953e-03
2.431667298944538036e+00 1.060700918219250558e-03 1.161387637587459228e-06 1.059539530576982490e-03
2.432778657024111002e+00 1.067398543333831704e-03 1.576809931673743993e-06 1.065821733394526748e-03
2.433890015103684412e+00 1.075811685026696694e-03 1.986572650320955459e-06 1.073825112375186670e-03
2.435001373183257378e+00 1.086456871629018928e-03 2.326572109673184340e-06 1.084130299514164545e-03
2.436112731262830788e+00 1.099503206977122663e-03 2.544045658456654883e-06 1.096959161317109192e-03
2.437224089342404199e+00 1.114744563155126459e-03 2.606271390384274831e-06 1.112138291761772223e-03
2.438335447421977165e+00 1.131633560591732268e-03 2.505980747120611517e-06 1.129127579843942995e-03
2.439446805501550575e+00 1.149371809333566037e-03 2.262588511997015044e-06 1.147109220819374394e-03
2.440558163581123541e+00 1.167041612817091081e-03 1.919032442656261133e-06 1.165122580372968640e-03
2.441669521660696951e+00 1.183757489241165500e-03 1.534737542036683218e-06 1.182222751695658977e-03
2.442780879740270361e+00 1.198812573506308037e-03 1.175858775171351482e-06 1.197636714725615684e-03
