#    Energy_eV   Re_FT_dcf   Re_FT_dcf1   Re_FT_dcf2
2.351749144530097979e+00 2.026453868590659749e-02 8.569131682659599151e-06 2.025596955421890208e-02
2.352860502609671389e+00 2.047201283238981803e-02 7.968248834424469503e-06 2.046404458355597158e-02
2.353971860689244355e+00 2.068194388387914820e-02 7.666181244326556308e-06 2.067427770263411888e-02
2.355083218768817765e+00 2.089394587612296988e-02 7.719248923631964767e-06 2.088622662719506057e-02
2.356194576848390732e+00 2.110761835987428128e-02 8.125299553112735339e-06 2.109949306031743549e-02
2.357305934927964142e+00 2.132261789253646692e-02 8.823998211704108099e-06 2.131379389432095164e-02
2.358417293007537552e+00 2.153872075486558402e-02 9.706683860946723711e-06 2.152901407100285200e-02
2.359528651087110518e+00 2.175586630056335416e-02 1.063418109709563607e-05 2.174523211946654752e-02
2.360640009166683928e+00 2.197417350102598421e-02 1.145964555334894444e-05 2.196271385546703578e-02
2.361751367246257338e+00 2.219392766468069808e-02 1.205269047203823590e-05 2.218187497421130958e-02
2.362862725325830304e+00 2.241553925739962760e-02 1.232082763384372234e-05 2.240321842976399427e-02
2.363974083405403714e+00 2.263948141487163654e-02 1.222469385174631381e-05 2.262725672101665447e-02
2.365085441484976680e+00 2.286621633921592095e-02 1.178455325383821739e-05 2.285443178595971195e-02
2.366196799564550091e+00 2.309612270864691910e-02 1.107699846778651037e-05 2.308504571017821680e-02
2.367308157644123501e+00 2.332943616538603326e-02 1.022238527646477895e-05 2.331921378010852475e-02
2.368419515723696467e+00 2.356621288477939516e-02 9.365060302456600430e-06 2.355684782447060865e-02
2.369530873803269877e+00 2.380632248897844236e-02 8.649628876180734261e-06 2.379767286009544167e-02
2.370642231882842843e+00 2.404947176459452593e-02 8.197164620779172941e-06 2.404127459997256258e-02
2.371753589962416253e+00 2.429525555891393768e-02 8.085275312751379770e-06 2.428717028360062591e-02
2.372864948041989663e+00 2.454322670133767675e-02 8.335308476260490043e-06 2.453489139285832885e-02
2.373976306121562629e+00 2.479297358141469010e-02 8.908808132655659834e-06 2.478406477328657168e-02
2.375087664201136040e+00 2.504419264685320626e-02 9.713813572644712101e-06 2.503447883327688736e-02
2.376199022280709006e+00 2.529674380874083472e-02 1.061997175774834334e-05 2.528612383698305641e-02
2.377310380360282416e+00 2.555067944808911765e-02 1.147998345578206976e-05 2.553919946462778270e-02
2.378421738439855826e+00 2.580624198132164260e-02 1.215385842490387539e-05 2.579408812289528050e-02
2.379533096519428792e+00 2.606383006710634789e-02 1.253198931394034223e-05 2.605129807779341805e-02
2.380644454599002202e+00 2.632393869157709926e-02 1.255324457240780046e-05 2.631138544700825990e-02
2.381755812678575612e+00 2.658708270502131363e-02 1.221509687060984173e-05 2.657486760815219382e-02
2.382867170758148578e+00 2.685371618145832376e-02 1.157411161690978418e-05 2.684214206984109410e-02
2.383978528837721989e+00 2.712416076740242071e-02 1.073670529252749419e-05 2.711342406210633105e-02
2.385089886917294955e+00 2.739855483120883992e-02 9.841684904838365704e-06 2.738871314630216686e-02
2.386201244996868365e+00 2.767683192700386152e-02 9.037434318583002026e-06 2.766779449268079102e-02
2.387312603076441775e+00 2.795873237559682450e-02 8.457497354030691662e-06 2.795027487824341614e-02
2.388423961156014741e+00 2.824384640006833910e-02 8.198575348064162418e-06 2.823564782471763707e-02
2.389535319235588151e+00 2.853168210536901825e-02 8.304563674229967980e-06 2.852337754169771006e-02
2.390646677315161117e+00 2.882174750444633018e-02 8.759261509781379596e-06 2.881298824293531194e-02
2.391758035394734527e+00 2.911363343717558727e-02 9.488964303347938173e-06 2.910414447287334311e-02
2.392869393474307937e+00 2.940708399685649371e-02 1.037452300815097089e-05 2.939670947384293020e-02
2.393980751553880904e+00 2.970204302053382553e-02 1.127089549168965995e-05 2.969077212504014560e-02
2.395092109633454314e+00 2.999866900637062142e-02 1.203098025887921919e-05 2.998663802610973192e-02
2.396203467713027724e+00 3.029731588513120966e-02 1.252981434313905901e-05 3.028478607078642290e-02
2.397314825792600690e+00 3.059848257234976804e-02 1.268515310430336934e-05 3.058579741923824272e-02
2.398426183872174100e+00 3.090273927321691289e-02 1.247104091250074118e-05 3.089026823229838736e-02
2.399537541951747066e+00 3.121064228215832820e-02 1.192213170220924316e-05 3.119872015045773231e-02
2.400648900031320476e+00 3.152265089816799065e-02 1.112803844666753219e-05 3.151152285972066286e-02
2.401760258110893886e+00 3.183905975566033580e-02 1.021863094803659936e-05 3.182884112471100202e-02
2.402871616190466852e+00 3.215995739807379211e-02 9.342692099278076430e-06 3.215061470597325999e-02
2.403982974270040263e+00 3.248521769484437327e-02 8.643438442985220885e-06 3.247657425640001344e-02
2.405094332349613229e+00 3.281452540655038774e-02 8.234930674423502728e-06 3.280629047587559077e-02
2.406205690429186639e+00 3.314743169685840235e-02 8.183257546790479960e-06 3.313924843931206898e-02
2.407317048508760049e+00 3.348343056741705237e-02 8.495595140423517505e-06 3.347493497227043563e-02
2.408428406588333015e+00 3.382204383714998430e-02 9.118950585030823592e-06 3.381292488656513495e-02
2.409539764667906425e+00 3.416290094428406365e-02 9.948807346961862353e-06 3.415295213693496368e-02
2.410651122747479391e+00 3.450580073686911053e-02 1.084625976164707204e-05 3.449495447710716062e-02
2.411762480827052801e+00 3.485074538723091642e-02 1.166082580316129447e-05 3.483908456142683491e-02
2.412873838906626212e+00 3.519794113468208835e-02 1.225518951701120538e-05 3.518568594515750214e-02
2.413985196986199178e+00 3.554776598077484528e-02 1.252780294102421002e-05 3.553523817782792971e-02
2.415096555065772588e+00 3.590070984664310572e-02 1.242962528103127678e-05 3.588828022135650414e-02
2.416207913145345998e+00 3.625729717632884819e-02 1.197223800375989890e-05 3.624532493832571117e-02
2.417319271224918964e+00 3.661800479881698045e-02 1.122599092622328898e-05 3.660677880789076077e-02
2.418430629304492374e+00 3.698318858833138378e-02 1.030847363324461722e-05 3.697288011469813951e-02
2.419541987384065340e+00 3.735303096678307261e-02 9.365199140589287156e-06 3.734366576764436979e-02
2.420653345463638750e+00 3.772751782353252897e-02 8.545670456650423640e-06 3.771897215307148943e-02
2.421764703543212160e+00 3.810644855395626390e-02 7.978764017311729272e-06 3.809846978993713246e-02
2.422876061622785127e+00 3.848947744256325798e-02 7.751480654183874489e-06 3.848172596190688882e-02
2.423987419702358537e+00 3.887617943428805373e-02 7.894564984513828621e-06 3.886828486929921889e-02
2.425098777781931503e+00 3.926612930456902656e-02 8.377367587561487011e-06 3.925775193698076426e-02
2.426210135861504913e+00 3.965898101534637982e-02 9.112805886881036857e-06 3.964986820945656104e-02
2.427321493941078323e+00 4.005453399856111207e-02 9.971618749291356139e-06 4.004456237980594940e-02
2.428432852020651289e+00 4.045277525152476267e-02 1.080357960061976374e-05 4.044197167192307291e-02
2.429544210100224699e+00 4.085389010909231539e-02 1.146218532971461942e-05 4.084242792375824410e-02
2.430655568179798109e+00 4.125823972515363369e-02 1.182876260111724663e-05 4.124641096255234757e-02
2.431766926259371076e+00 4.166630880400862269e-02 1.183202475934359393e-05 4.165447677924688508e-02
2.432878284338944486e+00 4.207863206348252255e-02 1.145985689260119696e-05 4.206717220658905826e-02
2.433989642418517452e+00 4.249571147427985696e-02 1.076138198429528995e-05 4.248495009229510261e-02
2.435101000498090862e+00 4.291793791372067179e-02 9.838958099093012574e-06 4.290809895561790294e-02
2.436212358577664272e+00 4.334553022832509511e-02 8.831412730590912277e-06 4.333669881559359255e-02
