#    Energy_eV   Re_FT_dcf   Re_FT_dcf1   Re_FT_dcf2
2.282966819595070085e+00 2.880290381366466378e-03 -2.040208563706380463e-05 2.900692467006553074e-03
2.284078177674643495e+00 2.911085332390264940e-03 -2.054697969989697582e-05 2.931632312091942121e-03
2.285189535754216461e+00 2.942537952082026776e-03 -2.080118569702873061e-05 2.963339137782346460e-03
2.286300893833789871e+00 2.974508747028893445e-03 -2.116074177416302571e-05 2.995669488803626764e-03
2.287412251913362837e+00 3.006822416244735868e-03 -2.160478455900813132e-05 3.028427200805242862e-03
2.288523609992936247e+00 3.039297659610439451e-03 -2.209897104463646149e-05 3.061396630652563240e-03
2.289634968072509658e+00 3.071778101914218219e-03 -2.260112099747782076e-05 3.094379222908109905e-03
2.290746326152082624e+00 3.104159207256007059e-03 -2.306815377778226287e-05 3.127227361033557869e-03
2.291857684231656034e+00 3.136406709851743795e-03 -2.346317953423294482e-05 3.159869889385979840e-03
2.292969042311229444e+00 3.168563480750039713e-03 -2.376157821194741938e-05 3.192325058960443496e-03
2.294080400390802410e+00 3.200743654920237217e-03 -2.395506522847835684e-05 3.224698720151346776e-03
2.295191758470375820e+00 3.233114945953056811e-03 -2.405307297230774988e-05 3.257168018923453038e-03
2.296303116549948786e+00 3.265872031113964662e-03 -2.408121833009743180e-05 3.289953249445640767e-03
2.297414474629522196e+00 3.299205372381357887e-03 -2.407710571161550360e-05 3.323282478096014920e-03
2.298525832709095607e+00 3.333270605913881291e-03 -2.408415377244960273e-05 3.357354759690850052e-03
2.299637190788668573e+00 3.368163551401017267e-03 -2.414445985245567946e-05 3.392308011258466510e-03
2.300748548868241983e+00 3.403904979845306586e-03 -2.429187551290864654e-05 3.428196855360736775e-03
2.301859906947814949e+00 3.440437677518745716e-03 -2.454643287206553236e-05 3.464984110389385946e-03
2.302971265027388359e+00 3.477636321152896039e-03 -2.491104023707051398e-05 3.502547361392534340e-03
2.304082623106961769e+00 3.515328565728780517e-03 -2.537099291364583708e-05 3.540699558640727877e-03
2.305193981186534735e+00 3.553323890705391980e-03 -2.589638227735912833e-05 3.579220272983751634e-03
2.306305339266108145e+00 3.591445461863534364e-03 -2.644700932563261847e-05 3.617892471190159963e-03
2.307416697345681111e+00 3.629559753534253308e-03 -2.697899631651350794e-05 3.656538749852345123e-03
2.308528055425254522e+00 3.667599034855496213e-03 -2.745200996678033150e-05 3.695051044825082859e-03
2.309639413504827932e+00 3.705572987215180556e-03 -2.783590795184813949e-05 3.733408895169096960e-03
2.310750771584400898e+00 3.743567508206284075e-03 -2.811571433452142641e-05 3.771683222540550291e-03
2.311862129663974308e+00 3.781730869122213942e-03 -2.829410353592437858e-05 3.810024972656047681e-03
2.312973487743547718e+00 3.820249486236735725e-03 -2.839098179980563706e-05 3.848640468036288505e-03
2.314084845823120684e+00 3.859317291388888842e-03 -2.844023243054867676e-05 3.887757523820027216e-03
2.315196203902694094e+00 3.899103762363975451e-03 -2.848415799616965864e-05 3.927587920364216875e-03
2.316307561982267060e+00 3.939725913891609782e-03 -2.856653220733233639e-05 3.968292446099967730e-03
2.317418920061840470e+00 3.981228918098590926e-03 -2.872540388318836835e-05 4.009954321986352113e-03
2.318530278141413881e+00 4.023578616434544779e-03 -2.898683726059813918e-05 4.052565453694809312e-03
2.319641636220986847e+00 4.066667232375517638e-03 -2.936061980717510046e-05 4.096027852183280887e-03
2.320752994300560257e+00 4.110331419065471614e-03 -2.983864580488654173e-05 4.140170064869786067e-03
2.321864352380133223e+00 4.154379731108234428e-03 -3.039624409611137076e-05 4.184775975207308089e-03
2.322975710459706633e+00 4.198625036780094695e-03 -3.099623397096328990e-05 4.229621270746662318e-03
2.324087068539280043e+00 4.242916544540956819e-03 -3.159504383990459835e-05 4.274511588381770325e-03
2.325198426618853009e+00 4.287166149055238878e-03 -3.214988711076094847e-05 4.319316036167242072e-03
2.326309784698426419e+00 4.331364705011665241e-03 -3.262581469578606678e-05 4.363990519705792173e-03
2.327421142777999830e+00 4.375585468117367330e-03 -3.300148278100423856e-05 4.408586950900638540e-03
2.328532500857572796e+00 4.419974034601378311e-03 -3.327268488193738642e-05 4.453246719481271550e-03
2.329643858937146206e+00 4.464726325142063905e-03 -3.345306445619308176e-05 4.498179389600649204e-03
2.330755217016719172e+00 4.510058128928540536e-03 -3.357188796124193741e-05 4.543630016890661504e-03
2.331866575096292582e+00 4.556171128799601545e-03 -3.366924223124547762e-05 4.589840371035556858e-03
2.332977933175865992e+00 4.603220931349582407e-03 -3.378944448944005768e-05 4.637010375839952479e-03
2.334089291255438958e+00 4.651292329199970682e-03 -3.397374851634257813e-05 4.685266077713603344e-03
2.335200649335012368e+00 4.700385867542546114e-03 -3.425354751312337947e-05 4.734639415057635518e-03
2.336312007414585334e+00 4.750417962418598643e-03 -3.464519375061629727e-05 4.785063156172436084e-03
2.337423365494158745e+00 4.801234617695583629e-03 -3.514729005956265963e-05 4.836381907755604032e-03
2.338534723573732155e+00 4.852636573292934408e-03 -3.574090218920944126e-05 4.888377475484174776e-03
2.339646081653305121e+00 4.904411847077626806e-03 -3.639266056351838746e-05 4.940804507641513056e-03
2.340757439732878531e+00 4.956370418340107220e-03 -3.706024420935662909e-05 4.993430662551962169e-03
2.341868797812451497e+00 5.008375437083966049e-03 -3.769934673682868130e-05 5.046074783822006651e-03
2.342980155892024907e+00 5.060365897032011867e-03 -3.827097920277421495e-05 5.098636876237750033e-03
2.344091513971598317e+00 5.112367088500143451e-03 -3.874790781857428138e-05 5.151114996319296202e-03
2.345202872051171283e+00 5.164487129909652204e-03 -3.911916545117787345e-05 5.203606295361162988e-03
2.346314230130744694e+00 5.216900138317072215e-03 -3.939189166883652084e-05 5.256292029985425683e-03
2.347425588210318104e+00 5.269818773028886461e-03 -3.959019493900657252e-05 5.309408967970147449e-03
2.348536946289891070e+00 5.323460615522707801e-03 -3.975122039174593596e-05 5.363211835917688040e-03
2.349648304369464480e+00 5.378013851731590703e-03 -3.991906674315024724e-05 5.417932918476714259e-03
2.350759662449037446e+00 5.433607832977430108e-03 -4.013755072893368785e-05 5.473745383703346352e-03
2.351871020528610856e+00 5.490293294133191150e-03 -4.044300830877027629e-05 5.530736302436983082e-03
2.352982378608184266e+00 5.548035427780390744e-03 -4.085831722293649805e-05 5.588893745001662083e-03
2.354093736687757232e+00 5.606720913524885011e-03 -4.138912592114063390e-05 5.648110039445053583e-03
2.355205094767330642e+00 5.666177720473627479e-03 -4.202291189208810410e-05 5.708200632367654848e-03
2.356316452846903609e+00 5.726204418870663344e-03 -4.273102764207505874e-05 5.768935446513561577e-03
2.357427810926477019e+00 5.786604184327491518e-03 -4.347340104921841364e-05 5.830077585375749091e-03
2.358539169006050429e+00 5.847217921088458149e-03 -4.420511979663788854e-05 5.891423040883585378e-03
2.359650527085623395e+00 5.907951081480573852e-03 -4.488381866713396555e-05 5.952834900146953233e-03
2.360761885165196805e+00 5.968789802961805939e-03 -4.547665531315954744e-05 6.014266458274099107e-03
2.361873243244770215e+00 6.029803740397124932e-03 -4.596572647433749890e-05 6.075769466870223866e-03
2.362984601324343181e+00 6.091135160674164203e-03 -4.635103208599861623e-05 6.137486192757068276e-03
2.364095959403916591e+00 6.152976122069137889e-03 -4.665049723060274981e-05 6.199626619300814372e-03
2.365207317483489557e+00 6.215537517103989981e-03 -4.689704547504149951e-05 6.262434562579640741e-03
2.366318675563062968e+00 6.279015091409882905e-03 -4.713320229666272229e-05 6.326148293709846562e-03
2.367430033642636378e+00 6.343558042832801551e-03 -4.740411411068361192e-05 6.390962156945318752e-03
2.368541391722209344e+00 6.409245376277105007e-03 -4.775013000588550086e-05 6.456995506284860485e-03
2.369652749801782754e+00 6.476073908409671863e-03 -4.820016630038847122e-05 6.524274074710524271e-03
2.370764107881355720e+00 6.543959894509542193e-03 -4.876694639795830621e-05 6.592726840907683905e-03
2.371875465960929130e+00 6.612754003624670210e-03 -4.944490087746367471e-05 6.662198904506444821e-03
2.372986824040502540e+00 6.682267166425961101e-03 -5.021107574237645928e-05 6.732478242166524754e-03
2.374098182120075506e+00 6.752303025883689587e-03 -5.102890209568416963e-05 6.803331927977108486e-03
2.375209540199648917e+00 6.822691630188469636e-03 -5.185420953090346682e-05 6.874545839720807780e-03
2.376320898279222327e+00 6.893318798426880008e-03 -5.264249574604443026e-05 6.945961294175163024e-03
2.377432256358795293e+00 6.964146300335627947e-03 -5.335625729492626579e-05 7.017502557635759732e-03
2.378543614438368703e+00 7.035219503255577510e-03 -5.397117526746560238e-05 7.089190678525694386e-03
2.379654972517941669e+00 7.106661204664669988e-03 -5.448013705484006558e-05 7.161141341720455092e-03
2.380766330597515079e+00 7.178652648761541660e-03 -5.489443058685532174e-05 7.233547079346577813e-03
2.381877688677088489e+00 7.251404842848502286e-03 -5.524191217180404837e-05 7.306646755021817610e-03
2.382989046756661455e+00 7.325124897141340082e-03 -5.556244700277905113e-05 7.380687344150444612e-03
2.384100404836234866e+00 7.399982941770833454e-03 -5.590137050610717779e-05 7.455884312273381928e-03
2.385211762915807832e+00 7.476085091638729092e-03 -5.630204512984361215e-05 7.532387136769833937e-03
2.386323120995381242e+00 7.553456943071660754e-03 -5.679873697133363023e-05 7.610255680044517024e-03
2.387434479074954652e+00 7.632040359357218119e-03 -5.741098507410932696e-05 7.689451344430222116e-03
2.388545837154527618e+00 7.711704115767582801e-03 -5.814039150790847893e-05 7.769844507274401013e-03
2.389657195234101028e+00 7.792266690252552981e-03 -5.897036265937286872e-05 7.851237052911111750e-03
2.390768553313674438e+00 7.873527478108382702e-03 -5.986884676068814770e-05 7.933396324869744498e-03
2.391879911393247404e+00 7.955301308761262777e-03 -6.079361940628382426e-05 8.016094928164610792e-03
2.392991269472820814e+00 8.037450583653750133e-03 -6.169924887811350503e-05 8.099149832538315996e-03
2.394102627552393781e+00 8.119909728226485865e-03 -6.254459566884391073e-05 8.182454323894174097e-03
2.395213985631967191e+00 8.202697899706451815e-03 -6.329961152734985463e-05 8.265997511239721318e-03
2.396325343711540601e+00 8.285917811918138906e-03 -6.395031744623132545e-05 8.349868129362975067e-03
2.397436701791113567e+00 8.369740814999925699e-03 -6.450113876999392047e-05 8.434241953769537614e-03
2.398548059870686977e+00 8.454380627681322771e-03 -6.497420994422188373e-05 8.519354837625128796e-03
2.399659417950259943e+00 8.540059990074172838e-03 -6.540576002833155842e-05 8.605465750101966294e-03
2.400770776029833353e+00 8.626975681636870480e-03 -6.584017099759011766e-05 8.692815852639880145e-03
2.401882134109406763e+00 8.715267630366193771e-03 -6.632268470768182169e-05 8.781590315075544356e-03
2.402993492188979729e+00 8.804997185884571795e-03 -6.689195814070836884e-05 8.871889144026931864e-03
2.404104850268553140e+00 8.896138137456476372e-03 -6.757369288367706770e-05 8.963711830342403417e-03
2.405216208348126106e+00 8.988581979290663146e-03 -6.837638944634596451e-05 9.056958368738017920e-03
2.406327566427699516e+00 9.082156594952423348e-03 -6.928992844952073615e-05 9.151446523402440025e-03
2.407438924507272926e+00 9.176655333610941531e-03 -7.028721614798414091e-05 9.246942549756411583e-03
2.408550282586845892e+00 9.271871745905208365e-03 -7.132862758394971185e-05 9.343200373489018648e-03
2.409661640666419302e+00 9.367634314281737470e-03 -7.236851976765290432e-05 9.440002834048919628e-03
2.410772998745992268e+00 9.463835507960424026e-03 -7.336274561329829619e-05 9.537198253575188828e-03
2.411884356825565678e+00 9.560450416931570716e-03 -7.427593327516979487e-05 9.634726350204942877e-03
2.412995714905139089e+00 9.657541922492417913e-03 -7.508733257326621619e-05 9.732629255065620988e-03
2.414107072984712055e+00 9.755251564788146312e-03 -7.579426450294316159e-05 9.831045829292613808e-03
2.415218431064285465e+00 9.853777610012671648e-03 -7.641260304411906198e-05 9.930190213059499060e-03
2.416329789143858875e+00 9.953343916534894767e-03 -7.697420611411055964e-05 1.003031812265015206e-02
2.417441147223431841e+00 1.005416470673574370e-02 -7.752171437460265036e-05 1.013168642111373328e-02
2.418552505303005251e+00 1.015641102104950129e-02 -7.810157016724444880e-05 1.023451259122159368e-02
2.419663863382578217e+00 1.026018435298590818e-02 -7.875640266726005264e-05 1.033894075565426444e-02
2.420775221462151627e+00 1.036550178333487185e-02 -7.951803093496715975e-05 1.044501981426750915e-02
2.421886579541725038e+00 1.047229504175463746e-02 -8.040223630635883292e-05 1.055269727806526676e-02
2.422997937621298004e+00 1.058042363648699878e-02 -8.140616583295068320e-05 1.066182980232270074e-02
2.424109295700871414e+00 1.068969987895483642e-02 -8.250879657677158906e-05 1.077220867553221016e-02
2.425220653780444380e+00 1.079992167751527878e-02 -8.367438763320329896e-05 1.088359606514690235e-02
2.426332011860017790e+00 1.091090769593741974e-02 -8.485835521609993537e-05 1.099576605115525595e-02
2.427443369939591200e+00 1.102252908603974096e-02 -8.601460707862984545e-05 1.110854369312088211e-02
2.428554728019164166e+00 1.113473256667368502e-02 -8.710313155242541605e-05 1.122183569822819520e-02
2.429666086098737576e+00 1.124755104856088421e-02 -8.809659351865904318e-05 1.133564764208468828e-02
2.430777444178310986e+00 1.136110005288954589e-02 -8.898485175224494777e-05 1.145008490464008606e-02
2.431888802257883953e+00 1.147556051453894194e-02 -8.977665307260520645e-05 1.156533716761301393e-02
2.433000160337457363e+00 1.159115080183431915e-02 -9.049822236096189158e-05 1.168164902419713790e-02
2.434111518417030329e+00 1.170809256503209730e-02 -9.118897792046790616e-05 1.179928154295661370e-02
2.435222876496603739e+00 1.182657604359187327e-02 -9.189507462874097203e-05 1.191847111822165288e-02
2.436334234576177149e+00 1.194673055560118054e-02 -9.266183528068303922e-05 1.203939239088412834e-02
2.437445592655750115e+00 1.206860504124321679e-02 -9.352631422567942419e-05 1.216213135546972794e-02
2.438556950735323525e+00 1.219216187783406929e-02 -9.451121663519249517e-05 1.228667309447030453e-02
2.439668308814896491e+00 1.231728499862803916e-02 -9.562117469619526558e-05 1.241290617332231269e-02
2.440779666894469901e+00 1.244380098896155466e-02 -9.684199501089206963e-05 1.254064298397904176e-02
2.441891024974043312e+00 1.257150969278123497e-02 -9.814300314295730152e-05 1.266965269592586901e-02
2.443002383053616278e+00 1.270021929031205608e-02 -9.948210173340469393e-05 1.279970139204269185e-02
2.444113741133189688e+00 1.282978006694485834e-02 -1.008127118786743997e-04 1.293059277882890011e-02
2.445225099212763098e+00 1.296011130123942735e-02 -1.020914568717769917e-04 1.306220275811135166e-02
2.446336457292336064e+00 1.309121683142960325e-02 -1.032853244672567714e-04 1.319450215589841081e-02
2.447447815371909474e+00 1.322318672136086129e-02 -1.043771286428880429e-04 1.332756385000265741e-02
2.448559173451482440e+00 1.335618473617395698e-02 -1.053683707846998031e-04 1.346155310695692879e-02
2.449670531531055850e+00 1.349042367962039260e-02 -1.062790275640238343e-04 1.359670270718836213e-02
2.450781889610629261e+00 1.362613264744241132e-02 -1.071442981786461515e-04 1.373327694562064168e-02
2.451893247690202227e+00 1.376352159029787907e-02 -1.080088441661644882e-04 1.387153043446524674e-02
2.453004605769775637e+00 1.390274902709567884e-02 -1.089194680625756284e-04 1.401166849515937847e-02
2.454115963849348603e+00 1.404389823739115271e-02 -1.099174349675199132e-04 1.415381567235935237e-02
2.455227321928922013e+00 1.418696586538556459e-02 -1.110317007450320026e-04 1.429799756612856569e-02
2.456338680008495423e+00 1.433186482431000712e-02 -1.122741624159427854e-04 1.444413898672356616e-02
2.457450038088068389e+00 1.447844103070274231e-02 -1.136377143013473832e-04 1.459207874500468780e-02
2.458561396167641799e+00 1.462650121227329104e-02 -1.150974321900252495e-04 1.474159864446095668e-02
2.459672754247215209e+00 1.477584720337363905e-02 -1.166146931803317298e-04 1.489246189655167932e-02
2.460784112326788176e+00 1.492631106219522406e-02 -1.181435552592082383e-04 1.504445461745081841e-02
2.461895470406361586e+00 1.507778520495794798e-02 -1.196383481381874087e-04 1.519742355309229749e-02
2.463006828485934552e+00 1.523024256662595596e-02 -1.210612264013625404e-04 1.535130379302820230e-02
2.464118186565507962e+00 1.538374344355863607e-02 -1.223884411245868855e-04 1.550613188468806178e-02
2.465229544645081372e+00 1.553842787151134969e-02 -1.236142959057021757e-04 1.566204216741680713e-02
2.466340902724654338e+00 1.569449478597041703e-02 -1.247521334909676026e-04 1.581924691946259495e-02
2.467452260804227748e+00 1.585217140248193837e-02 -1.258321873955970977e-04 1.597800358987865044e-02
2.468563618883800714e+00 1.601167788041897924e-02 -1.268966488539538691e-04 1.613857452927245154e-02
2.469674976963374124e+00 1.617319312499903433e-02 -1.279927581898274397e-04 1.630118588319027367e-02
2.470786335042947535e+00 1.633682740477429562e-02 -1.291650556856963842e-04 1.646599246045990506e-02
2.471897693122520501e+00 1.650260634438013158e-02 -1.304480665321285700e-04 1.663305441091634043e-02
2.473009051202093911e+00 1.667046897375003625e-02 -1.318606241666761634e-04 1.680232959792192504e-02
2.474120409281667321e+00 1.684028019071153945e-02 -1.334027679151048983e-04 1.697368295862623083e-02
2.475231767361240287e+00 1.701185559811946302e-02 -1.350557279594104710e-04 1.714691132607527174e-02
2.476343125440813697e+00 1.718499461726989350e-02 -1.367850031541043910e-04 1.732177962042890512e-02
2.477454483520386663e+00 1.735951638629441157e-02 -1.385460281393927778e-04 1.749806241443672625e-02
2.478565841599960073e+00 1.753529247205743921e-02 -1.402914997719149220e-04 1.767558397182946231e-02
2.479677199679533484e+00 1.771227092759848631e-02 -1.419791590024420218e-04 1.785425008659709961e-02
2.480788557759106450e+00 1.789048764362962188e-02 -1.435787484350945257e-04 1.803406639206737994e-02
2.481899915838679860e+00 1.807006303880710069e-02 -1.450770005223365620e-04 1.821514003933236495e-02
2.483011273918252826e+00 1.825118456268434372e-02 -1.464798345782410203e-04 1.839766439726341421e-02
2.484122631997826236e+00 1.843407785164586851e-02 -1.478113996400246303e-04 1.858188925128975363e-02
2.485233990077399646e+00 1.861897128520925357e-02 -1.491101191390765480e-04 1.876808140435056241e-02
2.486345348156972612e+00 1.880605982164304871e-02 -1.504223870042094584e-04 1.895648220864282543e-02
2.487456706236546022e+00 1.899547415553521149e-02 -1.517949519238583327e-04 1.914726910746319954e-02
2.488568064316118988e+00 1.918726040395362861e-02 -1.532672432290304850e-04 1.934052764718288339e-02
2.489679422395692399e+00 1.938137382129749564e-02 -1.548649023034930983e-04 1.953623872360366748e-02
2.490790780475265809e+00 1.957768774621250832e-02 -1.565955857964182235e-04 1.973428333201176707e-02
2.491902138554838775e+00 1.977601646966162252e-02 -1.584477334996577775e-04 1.993446420316008841e-02
2.493013496634412185e+00 1.997614839429477304e-02 -1.603925058398945262e-04 2.013654090013971068e-02
2.494124854713985151e+00 2.017788411987516198e-02 -1.623885739595889131e-04 2.034027269383650166e-02
2.495236212793558561e+00 2.038107321953572248e-02 -1.643889749481508426e-04 2.054546219448716987e-02
2.496347570873131971e+00 2.058564362607595219e-02 -1.663489038376458678e-04 2.075199252991181964e-02
2.497458928952704937e+00 2.079161869854203801e-02 -1.682331584105009440e-04 2.095985185695548730e-02
2.498570287032278348e+00 2.099911901245576570e-02 -1.700220087901568140e-04 2.116914102124930336e-02
2.499681645111851758e+00 2.120834838805851774e-02 -1.717145219930599719e-04 2.138006291005243448e-02
2.500793003191424724e+00 2.141956624359068334e-02 -1.733287899626856701e-04 2.159289503355307782e-02
2.501904361270998134e+00 2.163305060843873084e-02 -1.748990191963748842e-04 2.180794962764005460e-02
2.503015719350571100e+00 2.184905768999414327e-02 -1.764699572431992376e-04 2.202552764723883852e-02
2.504127077430144510e+00 2.206778449398542202e-02 -1.780895707599791915e-04 2.224587406474659579e-02
2.505238435509717920e+00 2.228934055088322569e-02 -1.798011791542914405e-04 2.246914173003641824e-02
2.506349793589290886e+00 2.251373336480980841e-02 -1.816363391780527437e-04 2.269536970398885675e-02
2.507461151668864296e+00 2.274087000618194021e-02 -1.836096539204225817e-04 2.292447966010140864e-02
2.508572509748437263e+00 2.297057467134595507e-02 -1.857163643684914289e-04 2.315629103571361161e-02
2.509683867828010673e+00 2.320261944858025005e-02 -1.879331246089288793e-04 2.339055257319135397e-02
2.510795225907584083e+00 2.343676338644576015e-02 -1.902218381051319195e-04 2.362698522455466618e-02
2.511906583987157049e+00 2.367279360272690758e-02 -1.925359282650717957e-04 2.386532953098935775e-02
2.513017942066730459e+00 2.391056182775829278e-02 -1.948280149036676543e-04 2.410538984266482471e-02
2.514129300146303869e+00 2.415001050282431991e-02 -1.970577353959179832e-04 2.434706823821999183e-02
2.515240658225876835e+00 2.439118423450048825e-02 -1.991984237481742850e-04 2.459038265824765521e-02
2.516352016305450245e+00 2.463422477446211914e-02 -2.012415471746866976e-04 2.483546632163639856e-02
2.517463374385023211e+00 2.487935036071904985e-02 -2.031981673507860626e-04 2.508254852807427840e-02
2.518574732464596622e+00 2.512682279143145514e-02 -2.050971822150955291e-04 2.533191997364991899e-02
2.519686090544170032e+00 2.537690759324648382e-02 -2.069806336735501831e-04 2.558388822692108516e-02
2.520797448623742998e+00 2.562983376532830190e-02 -2.088968496210933149e-04 2.583873061494955034e-02
2.521908806703316408e+00 2.588575964681557456e-02 -2.108925458890846538e-04 2.609665219270109610e-02
2.523020164782889374e+00 2.614475045609657503e-02 -2.130051860382241031e-04 2.635775564213265962e-02
2.524131522862462784e+00 2.640677114795779781e-02 -2.152568558504879058e-04 2.662202800381281362e-02
2.525242880942036194e+00 2.667169573546920511e-02 -2.176506613341125320e-04 2.688934639680287328e-02
2.526354239021609160e+00 2.693933153980023268e-02 -2.201702448548984023e-04 2.715950178465398671e-02
2.527465597101182571e+00 2.720945439462045534e-02 -2.227825014053349314e-04 2.743223689602794849e-02
2.528576955180755981e+00 2.748184904500312539e-02 -2.254430505295103207e-04 2.770729209553265959e-02
2.529688313260328947e+00 2.775634813188240790e-02 -2.281035654708721749e-04 2.798445169735346710e-02
2.530799671339902357e+00 2.803286338514124343e-02 -2.307197547166654360e-04 2.826358313985907061e-02
2.531911029419475323e+00 2.831140392059383615e-02 -2.332586826767465082e-04 2.854466260327143470e-02
2.533022387499048733e+00 2.859207864352784900e-02 -2.357042239427216716e-04 2.882778286746974852e-02
2.534133745578622143e+00 2.887508236033618433e-02 -2.380597518720611850e-04 2.911314211221152290e-02
