#    Energy_eV   Re_FT_dcf   Re_FT_dcf1   Re_FT_dcf2
2.351749144530097979e+00 -3.755897497903053217e-02 -2.993138135093566764e-03 -3.456583684393812334e-02
2.352860502609671389e+00 -3.749082605369892518e-02 -3.005356521853782669e-03 -3.448546953184644659e-02
2.353971860689244355e+00 -3.729076505907059219e-02 -3.022112447685358812e-03 -3.426865261138669488e-02
2.355083218768817765e+00 -3.704683587212224266e-02 -3.038450406399248287e-03 -3.400838546572248350e-02
2.356194576848390732e+00 -3.686317197287628661e-02 -3.049562464600386394e-03 -3.381360950827505540e-02
2.357305934927964142e+00 -3.682211851909276967e-02 -3.052538056837523876e-03 -3.376958046225334020e-02
2.358417293007537552e+00 -3.695423932196859051e-02 -3.047425443660753408e-03 -3.390681387830752486e-02
2.359528651087110518e+00 -3.722713314856693906e-02 -3.037217735161155084e-03 -3.418991541340685864e-02
2.360640009166683928e+00 -3.755715143390454813e-02 -3.026767264557294126e-03 -3.453038416934699900e-02
2.361751367246257338e+00 -3.783977992865061868e-02 -3.021022074145621877e-03 -3.481875785450501415e-02
2.362862725325830304e+00 -3.798764959391616458e-02 -3.023225435547324813e-03 -3.496442415837069245e-02
2.363974083405403714e+00 -3.796235263518959319e-02 -3.033733554278768545e-03 -3.492861908090986317e-02
2.365085441484976680e+00 -3.778847778121234569e-02 -3.049882445375733542e-03 -3.473859533583514153e-02
2.366196799564550091e+00 -3.754473612488537504e-02 -3.066953696031786761e-03 -3.447778242885310429e-02
2.367308157644123501e+00 -3.733538008801357000e-02 -3.079889007110697165e-03 -3.425549108090239492e-02
2.368419515723696467e+00 -3.725229362424381518e-02 -3.085130500091009132e-03 -3.416716312415307710e-02
2.369530873803269877e+00 -3.734153893595427293e-02 -3.081917254443693101e-03 -3.425962168151164972e-02
2.370642231882842843e+00 -3.758653937658100463e-02 -3.072565605272251782e-03 -3.451397377130756283e-02
2.371753589962416253e+00 -3.791403825988985676e-02 -3.061629966962755699e-03 -3.485240829292603204e-02
2.372864948041989663e+00 -3.822069185575216466e-02 -3.054248199839216214e-03 -3.516644365591188592e-02
2.373976306121562629e+00 -3.841064308015253864e-02 -3.054272650768319677e-03 -3.535637042938256924e-02
2.375087664201136040e+00 -3.843041489215911349e-02 -3.062866722608728956e-03 -3.536754816954978259e-02
2.376199022280709006e+00 -3.828842173618665634e-02 -3.078078247699230635e-03 -3.521034348848557649e-02
2.377310380360282416e+00 -3.805198024435847010e-02 -3.095546103094200079e-03 -3.495643414126190646e-02
2.378421738439855826e+00 -3.782288055657969522e-02 -3.110084307950991035e-03 -3.471279624862696339e-02
2.379533096519428792e+00 -3.770038314946065616e-02 -3.117568215809227074e-03 -3.458281493365067405e-02
2.380644454599002202e+00 -3.774509266482838077e-02 -3.116436781061914570e-03 -3.462865588376629056e-02
2.381755812678575612e+00 -3.795685693231948266e-02 -3.108263754001595533e-03 -3.484859317831842662e-02
2.382867170758148578e+00 -3.827475079727568619e-02 -3.097188810135755206e-03 -3.517756198713960919e-02
2.383978528837721989e+00 -3.859917669729206330e-02 -3.088414236423284859e-03 -3.551076246086778965e-02
2.385089886917294955e+00 -3.882806516038755928e-02 -3.086313093730645024e-03 -3.574175206665719529e-02
2.386201244996868365e+00 -3.889401763225969200e-02 -3.092836826329102649e-03 -3.580118080593146929e-02
2.387312603076441775e+00 -3.878887555880673743e-02 -3.106802160770589637e-03 -3.568207339803661921e-02
2.388423961156014741e+00 -3.856675956416165396e-02 -3.124317870097546683e-03 -3.544244169406162576e-02
2.389535319235588151e+00 -3.832444723129447423e-02 -3.140197498287193145e-03 -3.518424973300574715e-02
2.390646677315161117e+00 -3.816620369345034153e-02 -3.149845157636025402e-03 -3.501635853581542418e-02
2.391758035394734527e+00 -3.816584567298400565e-02 -3.150928730371700074e-03 -3.501491694261445881e-02
2.392869393474307937e+00 -3.833984155831558077e-02 -3.144231328944817067e-03 -3.519561022936824879e-02
2.393980751553880904e+00 -3.864125017433889253e-02 -3.133370155587200147e-03 -3.550788001875123528e-02
2.395092109633454314e+00 -3.897672879729943696e-02 -3.123483676860097733e-03 -3.585324512043951140e-02
2.396203467713027724e+00 -3.924044812743789773e-02 -3.119363585952702588e-03 -3.612108454148348080e-02
2.397314825792600690e+00 -3.935259174505532920e-02 -3.123710655186990193e-03 -3.622888108986987987e-02
2.398426183872174100e+00 -3.928843452892336052e-02 -3.136149332886302259e-03 -3.615228519603667923e-02
2.399537541951747066e+00 -3.908740642924082159e-02 -3.153360611507078064e-03 -3.593404581773839562e-02
2.400648900031320476e+00 -3.883881923471719372e-02 -3.170286194951050553e-03 -3.566853303976656037e-02
2.401760258110893886e+00 -3.864942295844436132e-02 -3.181967086612749913e-03 -3.546745587183317006e-02
2.402871616190466852e+00 -3.860457728811819700e-02 -3.185348313553186192e-03 -3.541922897456538377e-02
2.403982974270040263e+00 -3.873716122666349265e-02 -3.180393000674132734e-03 -3.555676822598950737e-02
2.405094332349613229e+00 -3.901554475553452306e-02 -3.170099527241807512e-03 -3.584544522829446328e-02
2.406205690429186639e+00 -3.935502269643258166e-02 -3.159414166899369471e-03 -3.619560852953086078e-02
2.407317048508760049e+00 -3.964857770542043469e-02 -3.153433538926694261e-03 -3.649514416649374954e-02
2.408428406588333015e+00 -3.980580004024455304e-02 -3.155550124673239202e-03 -3.665024991557060824e-02
2.409539764667906425e+00 -3.978580995061483522e-02 -3.166215629512660317e-03 -3.661959432110194201e-02
2.410651122747479391e+00 -3.961219423731010547e-02 -3.182772969764654809e-03 -3.642942126754618315e-02
2.411762480827052801e+00 -3.936449970020529376e-02 -3.200419347127016721e-03 -3.616408035307796393e-02
2.412873838906626212e+00 -3.914935120542935992e-02 -3.213951345748797695e-03 -3.593539985968099981e-02
2.413985196986199178e+00 -3.906168086888806706e-02 -3.219657975419313364e-03 -3.584202289346755804e-02
2.415096555065772588e+00 -3.915016618811451021e-02 -3.216672961674359784e-03 -3.593349322643940580e-02
2.416207913145345998e+00 -3.939946005606322771e-02 -3.207293511508580667e-03 -3.619216654455537086e-02
2.417319271224918964e+00 -3.973569964531453724e-02 -3.196148274526391855e-03 -3.653955137078679360e-02
2.418430629304492374e+00 -4.005331714624249528e-02 -3.188515854093767771e-03 -3.686480129214910612e-02
2.419541987384065340e+00 -4.025342070789041798e-02 -3.188404713222481660e-03 -3.706501599466981850e-02
2.420653345463638750e+00 -4.027979161340902725e-02 -3.197092906777240437e-03 -3.708269870663350593e-02
2.421764703543212160e+00 -4.013939455466221384e-02 -3.212659606461455795e-03 -3.692673494820028490e-02
2.422876061622785127e+00 -3.989991828030553522e-02 -3.230680129609724959e-03 -3.666923815069742659e-02
2.423987419702358537e+00 -3.966521418151097711e-02 -3.245832994323136125e-03 -3.641938118718816148e-02
2.425098777781931503e+00 -3.953754493644210527e-02 -3.253835322063144877e-03 -3.628370961437703268e-02
2.426210135861504913e+00 -3.958036617564852228e-02 -3.253002696516651276e-03 -3.632736347913063935e-02
2.427321493941078323e+00 -3.979518659387596552e-02 -3.244865373126165804e-03 -3.655032122075037304e-02
2.428432852020651289e+00 -4.012094464921191206e-02 -3.233615423172286722e-03 -3.688732922603911446e-02
2.429544210100224699e+00 -4.045615571559614543e-02 -3.224584541707819618e-03 -3.723157117388871395e-02
2.430655568179798109e+00 -4.069579706702707023e-02 -3.222305241824403779e-03 -3.747349182520348654e-02
2.431766926259371076e+00 -4.076952491298750647e-02 -3.228860453769988662e-03 -3.754066445921694362e-02
2.432878284338944486e+00 -4.066731680826216749e-02 -3.243122475676436366e-03 -3.742419433258451639e-02
2.433989642418517452e+00 -4.044319227102428221e-02 -3.261159335148780276e-03 -3.718203293587519359e-02
2.435101000498090862e+00 -4.019563112259331300e-02 -3.277662144202992626e-03 -3.691796897839044744e-02
2.436212358577664272e+00 -4.003178773043066657e-02 -3.287875304853637992e-03 -3.674391242557727838e-02
2.437323716657237238e+00 -4.002850500315767446e-02 -3.289327786611400458e-03 -3.673917721654618163e-02
2.438435074736810648e+00 -4.020431232935207932e-02 -3.282735209854443018e-03 -3.692157711949672905e-02
2.439546432816383614e+00 -4.051261142466994203e-02 -3.271743426808828865e-03 -3.724086799786110319e-02
2.440657790895957024e+00 -4.085855553952223718e-02 -3.261605461350475070e-03 -3.759695007817115409e-02
2.441769148975530435e+00 -4.113350788709813771e-02 -3.257271937115234321e-03 -3.787623594998307947e-02
2.442880507055103401e+00 -4.125456025335227234e-02 -3.261589157126767394e-03 -3.799297109622578467e-02
2.443991865134676811e+00 -4.119473612083532355e-02 -3.274260692963303684e-03 -3.792047542787149728e-02
2.445103223214250221e+00 -4.099287543368102665e-02 -3.291951320096960214e-03 -3.770092411358293844e-02
2.446214581293823187e+00 -4.073957921144159833e-02 -3.309496908540317944e-03 -3.743008230289806421e-02
2.447325939373396597e+00 -4.054430025932313081e-02 -3.321781373063508250e-03 -3.722251888626047778e-02
2.448437297452969563e+00 -4.049553374774614994e-02 -3.325598492688112452e-03 -3.716993525505679630e-02
2.449548655532542973e+00 -4.062858696128534425e-02 -3.320821060164468735e-03 -3.730776590112044877e-02
2.450660013612116384e+00 -4.091266670733406663e-02 -3.310451036727223538e-03 -3.760221567060648140e-02
2.451771371691689350e+00 -4.126200682691767013e-02 -3.299531057345871619e-03 -3.796247576957099967e-02
2.452882729771262760e+00 -4.156701512558550610e-02 -3.293311964235777316e-03 -3.827370316134923178e-02
2.453994087850835726e+00 -4.173412860823842718e-02 -3.295342274853921023e-03 -3.843878633338438516e-02
2.455105445930409136e+00 -4.171988308690309510e-02 -3.306174734443309386e-03 -3.841370835245934423e-02
2.456216804009982546e+00 -4.154679130776217644e-02 -3.323161417358379451e-03 -3.822362989040418296e-02
2.457328162089555512e+00 -4.129522916695735346e-02 -3.341413307097634323e-03 -3.795381585986181555e-02
2.458439520169128922e+00 -4.107425392317356344e-02 -3.355576622953384061e-03 -3.771867730022101378e-02
2.459550878248702332e+00 -4.098194910245146066e-02 -3.361780507214088849e-03 -3.762016859523768103e-02
2.460662236328275299e+00 -4.106971514305236132e-02 -3.359047516556953016e-03 -3.771066762649169513e-02
2.461773594407848709e+00 -4.132350630267679625e-02 -3.349652957758850799e-03 -3.797385334491611836e-02
2.462884952487421675e+00 -4.166886284033036181e-02 -3.338300981045182365e-03 -3.833056185928433723e-02
2.463996310566995085e+00 -4.199793596638932980e-02 -3.330415765482910330e-03 -3.866752020090621217e-02
2.465107668646568495e+00 -4.220869703109490084e-02 -3.330168529000471136e-03 -3.887852850209512490e-02
2.466219026726141461e+00 -4.224207629818671483e-02 -3.338958013084931519e-03 -3.890311828510168574e-02
2.467330384805714871e+00 -4.210351282054242139e-02 -3.354897975798515255e-03 -3.874861484474478174e-02
2.468441742885287837e+00 -4.186105377665900323e-02 -3.373499469347967031e-03 -3.848755430730749910e-02
2.469553100964861247e+00 -4.162066643074101985e-02 -3.389301126620254592e-03 -3.823136530412004491e-02
2.470664459044434658e+00 -4.148771970540624660e-02 -3.397855382479519383e-03 -3.808986432292585378e-02
2.471775817124007624e+00 -4.152863655956709477e-02 -3.397348279689382019e-03 -3.813128827987961184e-02
2.472887175203581034e+00 -4.174667325476921764e-02 -3.389262935093422489e-03 -3.835741031967600245e-02
2.473998533283154000e+00 -4.208065739530036931e-02 -3.377844012698997742e-03 -3.870281338259788650e-02
2.475109891362727410e+00 -4.242717199828834052e-02 -3.368556563907510945e-03 -3.905861543438132050e-02
2.476221249442300820e+00 -4.267814072412431242e-02 -3.366098797266523293e-03 -3.931204192685819332e-02
2.477332607521873786e+00 -4.276015463730779842e-02 -3.372691378880165666e-03 -3.938746325842763102e-02
2.478443965601447196e+00 -4.266123040823512763e-02 -3.387266151802204375e-03 -3.927396425642943473e-02
2.479555323681020162e+00 -4.243524648432662333e-02 -3.405850650470865736e-03 -3.902939583385307137e-02
2.480666681760593573e+00 -4.218241551990117855e-02 -3.423010005879952543e-03 -3.875940551402121126e-02
2.481778039840166983e+00 -4.201287048694306303e-02 -3.433822869868465022e-03 -3.857904761707310615e-02
2.482889397919739949e+00 -4.200659598224207314e-02 -3.435672987348070348e-03 -3.857092299489361942e-02
2.484000755999313359e+00 -4.218428250799280410e-02 -3.429204216844458121e-03 -3.875507829114659131e-02
2.485112114078886769e+00 -4.249972411181687781e-02 -3.418090394466937777e-03 -3.908163371734927477e-02
2.486223472158459735e+00 -4.285655245911493272e-02 -3.407702277413400278e-03 -3.944885018170177921e-02
2.487334830238033145e+00 -4.314324703843621517e-02 -3.403155267008867862e-03 -3.974009177143000143e-02
2.488446188317606111e+00 -4.327370252713479831e-02 -3.407447566163475123e-03 -3.986625496096882909e-02
2.489557546397179522e+00 -4.321859635174526287e-02 -3.420366422033368960e-03 -3.979822992971093071e-02
2.490668904476752932e+00 -4.301612951217110431e-02 -3.438561458903917605e-03 -3.957756805326681504e-02
2.491780262556325898e+00 -4.275820647492244858e-02 -3.456759904542986307e-03 -3.930144657037973333e-02
2.492891620635899308e+00 -4.255705364122430723e-02 -3.469682939471907361e-03 -3.908737070175203471e-02
2.494002978715472274e+00 -4.250440107183873356e-02 -3.473966692475418793e-03 -3.903043437936199594e-02
