#    Energy_eV   Re_FT_dcf   Re_FT_dcf1   Re_FT_dcf2
2.273034658595070034e+00 -3.939893252190106165e-02 -2.636938691825141141e-03 -3.676199383007808241e-02
2.274146016674643445e+00 -3.911208384974138724e-02 -2.650830599044791056e-03 -3.646125325069620587e-02
2.275257374754216411e+00 -3.899823202961844731e-02 -2.655507188453852443e-03 -3.634272484116470719e-02
2.276368732833789821e+00 -3.911543950235130129e-02 -2.650219883382490520e-03 -3.646521961896998648e-02
2.277480090913362787e+00 -3.943780245154200614e-02 -2.637846376315835812e-03 -3.679995607522723589e-02
2.278591448992936197e+00 -3.986476121877883388e-02 -2.623848268825175901e-03 -3.724091294995186124e-02
2.279702807072509607e+00 -4.025758706931511360e-02 -2.614286985583253418e-03 -3.764330008373264341e-02
2.280814165152082573e+00 -4.048980629653090718e-02 -2.613618742141322199e-03 -3.787618755438700024e-02
2.281925523231655983e+00 -4.049323344797524371e-02 -2.623070717629226792e-03 -3.787016273034751745e-02
2.283036881311229394e+00 -4.028285827006148484e-02 -2.640190148111047023e-03 -3.764266812195266043e-02
2.284148239390802360e+00 -3.995150256441021980e-02 -2.659732003651015843e-03 -3.729177056076038443e-02
2.285259597470375770e+00 -3.963615039860977907e-02 -2.675564001266059807e-03 -3.696058639734341872e-02
2.286370955549948736e+00 -3.946816465710083904e-02 -2.682897050409674324e-03 -3.678526760669187379e-02
2.287482313629522146e+00 -3.952548255973926256e-02 -2.680029870594677951e-03 -3.684545268914704574e-02
2.288593671709095556e+00 -3.980418710797344745e-02 -2.668972234770701502e-03 -3.713521487320346065e-02
2.289705029788668522e+00 -4.021982464803223328e-02 -2.654718528178571114e-03 -3.756510611985464099e-02
2.290816387868241932e+00 -4.063802907872404030e-02 -2.643434179878274663e-03 -3.799459489884560864e-02
2.291927745947814898e+00 -4.092334882989485251e-02 -2.640213501263938972e-03 -3.828313532863292928e-02
2.293039104027388309e+00 -4.098853423766794790e-02 -2.647224321851476565e-03 -3.834130991581741893e-02
2.294150462106961719e+00 -4.082635137447844509e-02 -2.662915144437776917e-03 -3.816343623003720653e-02
2.295261820186534685e+00 -4.051232224365639012e-02 -2.682574778380975196e-03 -3.782974746527769522e-02
